Value,Disaggregation combinations using this value,Number of indicators
aneityum,2,1
aniwa,2,1
canal - fanafo,2,1
central malekula,2,1
central pentecost 1,2,1
central pentecost 2,2,1
east ambae,2,1
east malo,2,1
east santo,2,1
emau,2,1
erakor,2,1
eratap,2,1
eton,2,1
futuna,2,1
gaua,2,1
ifira,2,1
luganville,2,1
makimae,2,1
malorua,2,1
mele,2,1
merelava,2,1
middle bush tanna,2,1
mota,2,1
motalava,2,1
nguna,2,1
north ambae,2,1
north ambrym,2,1
north east malekula,2,1
north efate,2,1
north erromango,2,1
north maewo,2,1
north pentecost,2,1
north santo,2,1
north tanna,2,1
north tongoa,2,1
north west malekula,2,1
north west santo,2,1
paama,2,1
pango,2,1
port vila,2,1
south ambae,2,1
south east ambrym,2,1
south east malekula,2,1
south east santo,2,1
south epi,2,1
south erromango,2,1
south maewo,2,1
south malekula,2,1
south pentecost,2,1
south santo,2,1
south tanna,2,1
south west malekula,2,1
south west tanna,2,1
tongariki,2,1
torres,2,1
ureparapara,2,1
vanua lava,2,1
varisu,2,1
vermali,2,1
vermaul,2,1
west ambae,2,1
west ambrym,2,1
west malo,2,1
west santo,2,1
west tanna,2,1
whitesands,2,1
