Value,Disaggregation combinations using this value,Number of indicators
Accomodation and Food Services,2,2
Animal Prodcution,2,2
Construction,2,2
Crop Production,2,2
"Education, Health, Recreation, and Other Services",2,2
Electricity and Water Supply,2,2
Finance and Insurance ,2,2
Fishing,2,2
Forestry,2,2
Government Services,2,2
Information and Communication,2,2
Manufacturing,2,2
Mining and Quarrying,2,2
Other Wholesale Trade,2,2
"Professional, Scientifc, Technical, Adm/Services",2,2
Real Estate,2,2
Retail Trade,2,2
Transport,2,2
"Wholesale, Retail Trade, repair of Motorvehicles",2,2
