Value,Disaggregation combinations using this value,Number of indicators
Ambae,1308,1
Ambrym,766,2
Aneityum,128,1
Aniwa,30,1
Aore,94,1
Araki,28,1
Atchin,92,1
Avock,32,1
Buninga,46,1
Efate Offshore Islands,2,1
Efate,3298,1
Emae,106,1
Emao,154,1
Epi,790,1
Erromango,246,1
Futuna,54,1
Gaua,190,1
Hiu,32,1
Ifira,74,1
Lelepa,32,1
Loh,46,1
Maewo,274,1
Makira,52,1
Malekula,1794,2
Malo,494,1
Maskelyns,58,1
Matoso,22,1
Mavea,24,1
Mere Lava,94,1
Moso,32,1
Mota Lava,108,1
Mota,62,1
Nguna,170,1
Other Islands,2,1
Paama,192,1
Pele,32,1
Pentecost,1450,2
Santo,3068,2
Tanna,2306,2
Toga,32,1
Tongariki,32,1
Tongoa,418,1
Tutuba,32,1
Ureparapara,60,1
Uripiv,32,1
Vanua Lava,326,1
Vao,32,1
