Value,Disaggregation combinations using this value,Number of indicators
AUSTRALIA,15,1
BANGLADESH,6,1
BELGIUM,3,1
"CHINA,PEOPLESREPUBLICOF",6,1
CZECHREPUBLIC,3,1
FIJI,9,1
FRANCE,3,1
FRENCHPOLYNESIA,6,1
HONGKONG,3,1
INDIA,3,1
INDONESIA,3,1
ITALY,3,1
JAPAN,3,1
KIRIBATI,3,1
MALAYSIA,12,1
NETHERLANDS,3,1
NEWCALEDONIA,15,1
NEWZEALAND,12,1
PAPUANEWGUINEA,3,1
PHILIPPINES,3,1
SINGAPORE,6,1
SOLOMONISLANDS,3,1
SRILANKA,3,1
"TAIWAN,PROVINCEOFCHINA",3,1
UNITEDARABEMIRATES,3,1
UNITEDKINGDOM,3,1
UNITEDSTATESOFAMERICA,3,1
VIETNAM,3,1
