Value,Disaggregation combinations using this value,Number of indicators
Accommodationandfoodserviceactivities,2,1
Administrativeandsupportserviceactivities,2,1
"Agriculture,forestryandfishing",2,1
"Arts,entertainmentandrecreation",2,1
Construction,2,1
Education,2,1
"Electricity,gas,steamandairconditioningsupply",2,1
Financialandinsuranceactivities,2,1
Humanhealthandsocialworkactivities,2,1
Informationandcommunication,2,1
Manufacturing,2,1
Miningandquarrying,2,1
Otherserviceactivities,2,1
"Professional,scientificandtechnicalactivities",2,1
Publicadministrationanddefence;compulsorysocialsecurity,2,1
Realestateactivities,2,1
Transportationandstorage,2,1
"Watersupply;sewerage,wastemanagementandremediationactivities",2,1
Wholesaleandretailtrade;repairofmotorvehiclesandmotorcycles,2,1
