Value,Disaggregation combinations using this value,Number of indicators
"Accounting,bookkeepingandauditingactivities;taxconsultancy",1,1
"Activitiesauxiliarytofinancialserviceactivities,exceptinsuranceandpensionfunding",1,1
Activitiesauxiliarytoinsuranceandpensionfunding,1,1
"Activitiesofbusiness,employersandprofessionalmembershiporganizations",1,1
Activitiesofcallcentres,1,1
Activitiesofemploymentplacementagencies,1,1
Activitiesofheadoffices,1,1
Advertising,1,1
Animalproduction,1,1
Architecturalandengineeringactivitiesandrelatedtechnicalconsultancy,1,1
Beverageservingactivities,1,1
Buildingcompletionandfinishing,1,1
Buildingofshipsandboats,1,1
Businesssupportserviceactivitiesn.e.c.,1,1
Castingofmetals,1,1
Cleaningactivities,1,1
"Computerprogramming,consultancyandrelatedactivities",1,1
Constructionofbuildings,1,1
Constructionofothercivilengineeringprojects,1,1
Constructionofroadsandrailways,1,1
Constructionofutilityprojects,1,1
Courieractivities,1,1
"Creative,artsandentertainmentactivities",1,1
"Dataprocessing,hostingandrelatedactivities;webportals",1,1
Demolitionandsitepreparation,1,1
"Electrical,plumbingandotherconstructioninstallationactivities",1,1
"Electricpowergeneration,transmissionanddistribution",1,1
Eventcateringandotherfoodserviceactivities,1,1
Fishing,1,1
Gamblingandbettingactivities,1,1
Growingofnon-perennialcrops,1,1
Growingofperennialcrops,1,1
Highereducation,1,1
Hospitalactivities,1,1
Inlandwatertransport,1,1
Landscapecareandmaintenanceserviceactivities,1,1
Legalactivities,1,1
"Libraries,archives,museumsandotherculturalactivities",1,1
Logging,1,1
Maintenanceandrepairofmotorvehicles,1,1
Managementconsultancyactivities,1,1
"Manufactureofbasicchemicals,fertilizersandnitrogencompounds,plasticsandsyntheticrubberinprimaryforms",1,1
Manufactureofbasicironandsteel,1,1
Manufactureofbeverages,1,1
Manufactureofdairyproducts,1,1
Manufactureoffurniture,1,1
Manufactureofgeneral-purposemachinery,1,1
Manufactureofknittedandcrochetedapparel,1,1
Manufactureofnon-metallicmineralproductsn.e.c.,1,1
Manufactureofotherchemicalproducts,1,1
Manufactureofotherfabricatedmetalproducts;metalworkingserviceactivities,1,1
Manufactureofotherfoodproducts,1,1
Manufactureofpaperandpaperproducts,1,1
"Manufactureofpharmaceuticals,medicinalchemicalandbotanicalproducts",1,1
Manufactureofplasticsproducts,1,1
Manufactureofpreparedanimalfeeds,1,1
"Manufactureofproductsofwood,cork,strawandplaitingmaterials",1,1
Manufactureofrefinedpetroleumproducts,1,1
Manufactureofrubberproducts,1,1
Manufactureofsportsgoods,1,1
"Manufactureofstructuralmetalproducts,tanks,reservoirsandsteamgenerators",1,1
Manufactureofvegetableandanimaloilsandfats,1,1
"Manufactureofwearingapparel,exceptfurapparel",1,1
Medicalanddentalpracticeactivities,1,1
Miningandquarryingn.e.c.,1,1
Mixedfarming,1,1
Monetaryintermediation,1,1
"Motionpicture,videoandtelevisionprogrammeactivities",1,1
Non-specializedwholesaletrade,1,1
Officeadministrativeandsupportactivities,1,1
Organizationofconventionsandtradeshows,1,1
Otheramusementandrecreationactivities,1,1
Othereducation,1,1
"Otherfinancialserviceactivities,exceptinsuranceandpensionfundingactivities",1,1
Otherhumanhealthactivities,1,1
Otherlandtransport,1,1
Othermanufacturingn.e.c.,1,1
Otherpersonalserviceactivities,1,1
"Otherprofessional,scientificandtechnicalactivitiesn.e.c.",1,1
Otherreservationserviceandrelatedactivities,1,1
Otherspecializedconstructionactivities,1,1
Otherspecializedwholesale,1,1
Othertelecommunicationsactivities,1,1
Passengerairtransport,1,1
Photographicactivities,1,1
Plantpropagation,1,1
Postalactivities,1,1
Pre-primaryandprimaryeducation,1,1
Printingandserviceactivitiesrelatedtoprinting,1,1
Privatesecurityactivities,1,1
"Processingandpreservingoffish,crustaceansandmolluscs",1,1
Processingandpreservingoffruitandvegetables,1,1
Processingandpreservingofmeat,1,1
Provisionofservicestothecommunityasawhole,1,1
"Publishingofbooks,periodicalsandotherpublishingactivities",1,1
"Quarryingofstone,sandandclay",1,1
Radiobroadcasting,1,1
Realestateactivitiesonafeeorcontractbasis,1,1
Realestateactivitieswithownorleasedproperty,1,1
Remediationactivitiesandotherwastemanagementservices,1,1
Rentingandleasingofmotorvehicles,1,1
"Rentingandleasingofothermachinery,equipmentandtangiblegoods",1,1
Rentingandleasingofpersonalandhouseholdgoods,1,1
Repairofcomputersandcommunicationequipment,1,1
"Repairoffabricatedmetalproducts,machineryandequipment",1,1
Repairofpersonalandhouseholdgoods,1,1
Reproductionofrecordedmedia,1,1
Restaurantsandmobilefoodserviceactivities,1,1
Retailsaleinnon-specializedstores,1,1
Retailsaleofautomotivefuelinspecializedstores,1,1
Retailsaleofculturalandrecreationgoodsinspecializedstores,1,1
"Retailsaleoffood,beveragesandtobaccoinspecializedstores",1,1
Retailsaleofinformationandcommunicationsequipmentinspecializedstores,1,1
Retailsaleofothergoodsinspecializedstores,1,1
Retailsaleofotherhouseholdequipmentinspecializedstores,1,1
Retailsaleviastallsandmarkets,1,1
"Retailtradenotinstores,stallsormarkets",1,1
"Sale,maintenanceandrepairofmotorcyclesandrelatedpartsandaccessories",1,1
Saleofmotorvehiclepartsandaccessories,1,1
Saleofmotorvehicles,1,1
Satellitetelecommunicationsactivities,1,1
Sawmillingandplaningofwood,1,1
Seaandcoastalwatertransport,1,1
Secondaryeducation,1,1
Securitysystemsserviceactivities,1,1
Sewerage,1,1
Shorttermaccommodationactivities,1,1
Silvicultureandotherforestryactivities,1,1
Soundrecordingandmusicpublishingactivities,1,1
Specializeddesignactivities,1,1
"Spinning,weavingandfinishingoftextiles",1,1
Sportsactivities,1,1
Supportactivitiesfortransportation,1,1
Supportactivitiestoagricultureandpost-harvestcropactivities,1,1
"Tanninganddressingofleather;manufactureofluggage,handbags,saddleryandharness;dressinganddyeingoffur",1,1
Televisionprogrammingandbroadcastingactivities,1,1
Travelagencyandtouroperatoractivities,1,1
"Trusts,fundsandsimilarfinancialentities",1,1
Veterinaryactivities,1,1
Warehousingandstorage,1,1
Wastecollection,1,1
Wastetreatmentanddisposal,1,1
"Watercollection,treatmentandsupply",1,1
Wholesaleofagriculturalrawmaterialsandliveanimals,1,1
"Wholesaleoffood,beveragesandtobacco",1,1
Wholesaleofhouseholdgoods,1,1
"Wholesaleofmachinery,equipmentandsupplies",1,1
Wiredtelecommunicationsactivities,1,1
Wirelesstelecommunicationsactivities,1,1
