Value,Disaggregation combinations using this value,Number of indicators
10106,96,1
101097,32,1
10112,90,1
10113,42,1
101143,16,1
10119,90,1
10121,82,1
10305,78,1
10308,90,1
10316,78,1
10401,94,1
104095,84,1
104106,28,1
10411,116,1
104115,72,1
10422,76,1
10424,84,1
10490,32,1
105126,16,1
10517,88,1
10518,76,1
10523,80,1
10609,94,1
106125,44,1
10914,70,1
10915,90,1
11003,92,1
11110,76,1
11407,84,1
20101,128,1
20102,126,1
20103,116,1
20104,108,1
20105,120,1
20108,94,1
20110,94,1
201102,32,1
20111,90,1
21711,40,1
21912,92,1
22007,70,1
220300,28,1
22049,36,1
22101,74,1
22102,66,1
22103,128,1
22106,90,1
22114,90,1
22120,60,1
221344,32,1
221344F,8,1
22139,88,1
22143,48,1
221500,86,1
221501,78,1
22163,78,1
22204,94,1
22205,128,1
22208,112,1
22209,58,1
22210,122,1
22213,104,1
22215,94,1
22216,42,1
22217,88,1
22218,110,1
22222,34,1
22223,116,1
22224,64,1
22225,76,1
22226,82,1
22227,86,1
22229,126,1
222301,32,1
222302,26,1
222304,10,1
222307,16,1
222308,30,1
222309,32,1
22232,100,1
222324,30,1
222325,90,1
222326,80,1
22234,86,1
22235,110,1
222352,30,1
22236,90,1
22240,88,1
22241,118,1
22242,62,1
22244,84,1
22247,90,1
22248,88,1
222497,60,1
222499,70,1
22250,78,1
222504,88,1
22251,126,1
222513,24,1
22252,88,1
222528,72,1
22253,110,1
222531,14,1
22254,80,1
222567,16,1
222568,32,1
22257,42,1
22258,80,1
22260,92,1
22262,60,1
22264,114,1
22265,56,1
22266,96,1
22267,70,1
22268,80,1
22270,56,1
22271,90,1
22272,78,1
22273,76,1
22274,76,1
22275,88,1
22276,78,1
22278,84,1
22279,78,1
22281,56,1
22282,56,1
22283,66,1
22286,68,1
22287,90,1
22289,112,1
22421,40,1
32604,66,1
32605,50,1
32607,46,1
32610,88,1
32617,84,1
32624,86,1
32625,86,1
32627,46,1
32628,86,1
32629,56,1
32631,28,1
32633,36,1
326351,32,1
32638,52,1
32639,34,1
32642,96,1
32643,64,1
32647,56,1
32649,46,1
32650,54,1
32652,68,1
32659,64,1
32701,52,1
32709,94,1
32716,90,1
327321,12,1
32735,56,1
32737,82,1
32751,114,1
32802,80,1
32803,82,1
32806,88,1
32808,74,1
32811,84,1
32812,78,1
32813,40,1
32815,96,1
32818,82,1
32819,52,1
32820,78,1
32821,92,1
32822,94,1
32823,88,1
32826,72,1
32830,82,1
32832,88,1
328352,32,1
32836,84,1
32840,90,1
32844,86,1
32845,92,1
32846,66,1
32848,70,1
32853,70,1
32854,90,1
32855,96,1
32856,92,1
32858,72,1
32860,82,1
32861,40,1
32862,52,1
32863,56,1
32864,64,1
32867,60,1
329301,32,1
329304,32,1
329305,30,1
329306,32,1
329308,28,1
329309,32,1
329314,32,1
340311,32,1
343302,32,1
343303,30,1
343312,32,1
344310,32,1
344315,30,1
37,28,1
426300,32,1
426301,14,1
426302,32,1
426303,30,1
426304,16,1
426311,24,1
427305,32,1
428306,32,1
428307,28,1
428308,32,1
428309,32,1
428310,32,1
42902,62,1
42903,62,1
42904,124,1
42907,90,1
42908,94,1
42909,20,1
42912,92,1
42917,56,1
42919,90,1
42921,34,1
42922,94,1
42924,80,1
42926,82,1
42927,94,1
42928,90,1
42930,96,1
42931,84,1
429317,72,1
429345,16,1
429358,70,1
42936,90,1
429373,32,1
429377,32,1
429379,32,1
42938,82,1
429389,32,1
42944,84,1
42945,60,1
42948,106,1
42951,86,1
42952,60,1
42955,90,1
42956,86,1
42958,92,1
42960,26,1
42961,92,1
42963,50,1
42965,46,1
42971,92,1
42972,96,1
42973,92,1
42975,94,1
42978,92,1
42979,90,1
42980,90,1
42983,76,1
42985,88,1
42986,20,1
42987,50,1
42988,68,1
42989,70,1
42990,80,1
42993,92,1
42995,14,1
42999,14,1
43081,88,1
43101,80,1
43115,86,1
43177,88,1
438378,14,1
43867,108,1
43953,96,1
44043,96,1
441320,16,1
44306,42,1
44313,80,1
44316,36,1
44320,48,1
44323,58,1
44329,68,1
443336,56,1
44335,92,1
44337,72,1
443374,32,1
44340,78,1
44346,90,1
44349,110,1
44350,50,1
44357,90,1
44359,64,1
44362,84,1
44364,92,1
44369,92,1
44370,90,1
44376,86,1
44391,112,1
44433,84,1
44439,86,1
44442,92,1
44468,82,1
44482,78,1
44497,82,1
50201,94,1
50202,90,1
50203,94,1
50204,72,1
50205,60,1
50206,128,1
50207,126,1
50209,70,1
502100,32,1
502101,32,1
502106,24,1
502109,32,1
50211,40,1
502113,30,1
502114,32,1
502115,24,1
50214,96,1
50215,78,1
50216,92,1
50217,128,1
50218,100,1
50219,96,1
50221,128,1
50222,44,1
54601,118,1
54603,44,1
54607,104,1
54608,78,1
54627,86,1
54629,80,1
54630,78,1
546305,30,1
546305E,12,1
546307,32,1
54631,22,1
546378,78,1
54640,88,1
546409,84,1
54642,118,1
54646,80,1
54651,70,1
54653,80,1
54656,24,1
54663,64,1
54817,78,1
54821,56,1
54824,102,1
54825,60,1
548308,16,1
54834,14,1
54841,110,1
54844,86,1
54909,84,1
55052,46,1
551311,16,1
55145,86,1
55162,80,1
55232,60,1
55338,22,1
55410,96,1
55412,84,1
55414,128,1
55415,94,1
55416,94,1
55418,128,1
55426,66,1
55428,84,1
554300,32,1
554302,16,1
554303,28,1
554320,86,1
554328,94,1
55433,64,1
554331,92,1
55435,120,1
554354,34,1
554355,120,1
55436,126,1
55437,82,1
554377,90,1
554379,94,1
55439,128,1
554392,68,1
554393,88,1
554405,82,1
554406,92,1
554407,14,1
554408,32,1
554411,86,1
554412,46,1
554413,44,1
554414,26,1
554419,32,1
554421,14,1
