Value,Disaggregation combinations using this value,Number of indicators
Abanga,52,1
Abuanga,80,1
Akama,118,1
AlaMemorial,56,1
Aligu,82,1
Alowaru,74,1
Amapelau(Mati),42,1
Amapelau/Mati,24,1
Amaronea,14,1
Ambaebulu,80,1
AmbaebuluEnglishPrimary,30,1
AmbaebuluFrenchPrimary,22,1
AmbaebuluSecondary,16,1
Ambakura,78,1
Amelvet,30,1
AmelvetPrimary,32,1
AmelvetSecondary,16,1
Amoro,92,1
Anabrou,46,1
AnabrouPrimary,48,1
Analgauhat,88,1
AoreAdventistAcademy,28,1
ApostolicCollege,32,1
Arep,78,1
Atavtabanga,78,1
AtavtabangaPrimary,26,1
AtavtabangaSecondary,16,1
Atchin/St.Louis,30,1
Aulua,124,1
Autabulu,20,1
AutabuluPrimary,26,1
Avunatari,80,1
AvunatariPrimary,48,1
Bagavegug,92,1
BaiapChurchSchool,24,1
BaiapSDAPrimary,18,1
Baie-Barrier,46,1
BaieBarrierPrimary,28,1
BaieCaroline,90,1
Baitora,12,1
Bakanao(Naviso),94,1
BaldwinLonsdaleMemorial(BLMS),48,1
Balon,62,1
BalonPrimary,32,1
Banaviti,58,1
BanavitiPrimary,32,1
BanBan,80,1
BanbanPrimary,48,1
Bangabulu,60,1
BangabuluPrimary,28,1
Benbon,94,1
Benenaveth,20,1
Bene(PacificIsland)ChristianCommunity,32,1
BernierBay,44,1
BernierBayPrimary,26,1
Bombua,32,1
BombuaPrimary,54,1
Bonkovio,104,1
Brenwei,124,1
Bulemap,80,1
Burumba,94,1
BurumbaEnglish,12,1
BurumbaFrench,14,1
Butmas,58,1
Bwatnapni,78,1
BwatnapniSecondary,32,1
CentralPrimary,90,1
CentralSecondary,32,1
CentreVille,94,1
Chenard,86,1
ChildCareCentre,72,1
ClubHippiqueFrançaise,16,1
ClubHippiqueFrenchPrimary,30,1
Coconak,84,1
Colleged'Arep,14,1
CollegedeBaldwinLonsdaleMemorial(BLMS),14,1
CollegedeLehili,30,1
CollegedeSt.Michel,16,1
CollègedeTafea/LyceeDeTafea,32,1
CraigCove,36,1
Dambulu,40,1
Daodobo,46,1
DaodoboFrench,10,1
DaySpring,90,1
DaySpringSchool,90,1
DeQuiros(matantas),112,1
Dillon'sBay,138,1
DipPoint,94,1
Dixon,90,1
Dombulu,92,1
Donna'sEliteFoundation,44,1
DrianaPrimary,14,1
Ebenezer,122,1
EcoleCentreVille,24,1
EcoledeNelson(Vatop),76,1
EcoleFrancaise,16,1
EcoleFrancaisePrimary,28,1
EcoleFrancaiseSecondary,16,1
EcoleFrançaise,32,1
EcolePrimaireD'Arep,58,1
EcolePrimairedeBaldwinLonsdaleMemorial(BLMS),26,1
EcolePubliquedeKaramale,44,1
EfateMacsesPresbyterianMissionSchool,30,1
Ekipe,48,1
EkipePrimary,48,1
Ekonak,54,1
EkonakPrimary,30,1
Eles,74,1
ElesPrimary,30,1
ElesSecondary,16,1
Enam,8,1
Enekis,82,1
Eniou,98,1
Enkataley,82,1
Enkul,30,1
EnkulPrimary,10,1
Entan-Vui(Hebron),30,1
EntanVuiJnrSecondary,14,1
EpautoAdventistSeniorSecondary,16,1
EpautoAdventistSeniorSecondarySchool,16,1
Erakor,48,1
ErakorEnglish,48,1
ErakorFrench,46,1
Eratap,80,1
EratapPrimary,48,1
Ere,52,1
ErePrimary,26,1
Esnaar,62,1
EsnaarJr.Secondary,16,1
EsnaarPrimary,32,1
EtasCommunity,92,1
Eton,80,1
EtonPrimary,48,1
Fanafo,104,1
Fanla,48,1
Faralao,34,1
Farun(Kalwai),94,1
Fetukai,124,1
FokonaSDAPrimary,92,1
Fonteng,58,1
FreshWotaenglish,80,1
FreshWotaFrançaise,78,1
FreswotaEnglish,48,1
FreswotaFrench,48,1
Galilee,80,1
Gamalmaua,96,1
Gambule,76,1
GambulePrimary,30,1
GambuleSecondary,16,1
Gneretuvuro,72,1
GoodwillPrimary,26,1
GoodwillSecondary,14,1
GraceBaptistPrimary,20,1
GraceBaptistPrimarySchool,24,1
GreenHill,186,1
GreenHillJS(English),16,1
GreenHillJuniorSecondary,16,1
HavSigaiPrimary,28,1
Herenhala,84,1
HillValley,16,1
Hiwelo,28,1
HiweloPrimary,28,1
HogHarbour,120,1
IanLivo,42,1
Ienaula,32,1
Ietap,94,1
Iethvekar,88,1
Ifira,78,1
IfiraEnglishPrimary,32,1
Ifira(Frn),10,1
IfiraSecondary,14,1
Ikahakahak,70,1
Ikiti,88,1
Ilvualam,34,1
Imafen,86,1
Imaki,122,1
Imanaka,30,1
Imaru,90,1
Ipayato,110,1
Ipekel,26,1
IpotaJuniorHighSchool,32,1
Iquaramanu,92,1
Irumori,88,1
Isaka,96,1
Isangel,32,1
IsangelEnglish,126,1
IsangelFrancais,32,1
IsangelFrançaise,58,1
Ishia,88,1
IshiaSecondarySchool,30,1
Isla,80,1
ItakomaPrimary,42,1
Itaku,74,1
Itakuma,60,1
Iwunmit,94,1
JeanVidil(Vao),32,1
Jinaure,90,1
JohnNobleMackenzie,90,1
Kamahau(Karimasanga),56,1
Kamai,82,1
Kamewa,80,1
KamewaEnglish,128,1
KamewaFrench,46,1
kapalpal,28,1
Kapalpal,16,1
KapalpalChristadelphian,64,1
Katundaula,32,1
KatundaulaPrimary,28,1
Kawenu,80,1
KawenuPrimary,48,1
King'sCross,88,1
Kitacu,60,1
KoroBay,16,1
Kwamera,90,1
KwameraJunior.S.S,32,1
Kwataparen,16,1
Labongtaoua,90,1
Labultamata(Tamua),82,1
LagonII(St.Joseph),34,1
LagonII/St.Joseph,32,1
Laindua,90,1
Lakatoro,126,1
Lalinda,68,1
Lalkoko(MaeSirbulbul),72,1
Lalzadette,52,1
Lamanaruan,92,1
Lamap,32,1
Lambubu,84,1
Lamenaura,86,1
Lamenu,58,1
LamenuPrimary,28,1
Lamkail,94,1
Lamlu,88,1
LamluJ.S.S,32,1
Lamnatou,92,1
Lapkit,72,1
Latano(Loltong),94,1
Latan(Tuhu)J.S.S,40,1
Lathi,34,1
Latun,74,1
Launalang,94,1
Lausake,54,1
LausakePrimary,30,1
Lautapunga,70,1
Lavalsal,14,1
Leauer,94,1
Lehilehina,40,1
Lehili,84,1
LekanSDA,70,1
Leleut,92,1
Lemesie(Lape-Paparama),50,1
Lemesie(lape/Paparama),10,1
Lenakel,128,1
LenakenEnglish,86,1
LenakenFrancais,30,1
LenakenFrançaise,38,1
Lerawo,82,1
Lesasanemal,78,1
Leviamp,90,1
LifechangerPrimary,34,1
LifechangerSecondary,8,1
Limarua,116,1
Linbul,72,1
Lingarak,82,1
LiniMemorial,92,1
LiniMemorialCollege,32,1
Liro,86,1
Lokopue,80,1
Lolibulo,78,1
Lolopuepue,56,1
LolopuepuePrimary,30,1
Lolovoli,56,1
LolovoliPrimary,30,1
Londar(Baie-Martelli),72,1
LonduaSecondary,14,1
Lonest(stJeanMarieVianeyPrimaire),86,1
Loone,30,1
LoonePrimary,16,1
Loono,52,1
Lopeni,84,1
Loquirutaro,86,1
Lorethiakarkar,64,1
LorovuilkoAnglicanCommunity,76,1
Losalava,96,1
LosolavaJuniorSecondarySchool,32,1
Louanuialu,28,1
Loukaru(Lounalou),90,1
Loukatai,92,1
Lounabil,78,1
Lounahunu,92,1
Lounapayou,72,1
Lounapkiko,94,1
Lousula,40,1
Lowanatom,124,1
Lowenata,70,1
LowiepengJS,30,1
Lowieru,90,1
LuganvilleAdventistSchool,24,1
LuganvilleEst,68,1
LuganvilleEstPrimary,48,1
Luvil,92,1
Luwoi,96,1
LyceedeMontmartre,32,1
Mabfilau,50,1
MabfilauPrimary,28,1
Magam,90,1
Makira,32,1
MakiraPrimary,28,1
Malao,82,1
MalasitabuPrimary,14,1
Malatia,38,1
MalatiaPrimary,26,1
Malawia,14,1
Malores,86,1
MaluaBay,60,1
MaluaBayJSS,32,1
Manganua,22,1
Mangarongo,74,1
MangarongoPrimary,46,1
Manua,78,1
Manuapen,86,1
ManuaPrimary,48,1
Maranatha,32,1
Martin,84,1
MataipevuFrançaise,50,1
MataipevuFrench,22,1
Mataloi,100,1
Matanvat,106,1
MatanvatSecondary,14,1
Matarisu,56,1
MatarisuPrimary,26,1
Mataso,10,1
MatasoPrimary,12,1
Maumau,74,1
MaumauPrimary,46,1
Mbossung,110,1
Megamone,50,1
Melemaat,80,1
MelemaatPrimary,48,1
Melsisi,66,1
MelsisiPrimary,30,1
MelsisiSecondary,14,1
Melworbank,86,1
Menevula,58,1
MenevulaJuniorSecondary,30,1
MenevulaPrimary,28,1
MerapStAugustin,48,1
MerapStAugustinPrimary,8,1
Merei(Mamara),126,1
Metune,60,1
Mobarawa(Moriu),88,1
MoliValivu,10,1
Mwast,110,1
MwastJr.SecondarySchool,16,1
Najaraiwelu,86,1
Naleleo,12,1
NaleleoPrimary,16,1
Nalema(Amarana),44,1
NalukenSecondarySchool,32,1
Namaram,62,1
NamaramPrimary,26,1
Namaru,96,1
Namoru,90,1
Nandiutu-English,16,1
NandiutuEnglish,16,1
NandiutuFrench,8,1
Nanuhu(Randasi),88,1
Naone,56,1
Napangasale,16,1
Naruah,54,1
NaruahPrimary,30,1
Nasalanvunmoli,88,1
Nasawa,82,1
Nataluhangele,36,1
Natawa,118,1
Navele,24,1
Navele(St.Paul),30,1
Naviaru,48,1
Navutiriki,26,1
NavutirikiSecondaryEnglish,16,1
NavutirikiSecondaryFrench,14,1
Naworaone,62,1
NaworaonePrimary,48,1
Nduindui,24,1
NduinduiPrimary,28,1
NeilThomasMinistriesChristianCollegePortVila,24,1
Neramb,90,1
Nergar,90,1
Ngwalona,18,1
NgwalonaPrimary,16,1
Nikaura,72,1
NikauraPrimary,46,1
Noaiwia,64,1
NoaiwiaPrimary,30,1
Nofo,58,1
NofoPrimary,28,1
NofoSecondary,16,1
Norsup,118,1
NotreDamedeLourdes(Tolomako),56,1
Notredamedelourde(Vilvil),70,1
NotreDamedeWalarano,88,1
Nottage,56,1
NottagePrimary,30,1
NTCUPort-Vila,70,1
NuakwanabuPrimary,32,1
NuakwanabuPrimarySchool,56,1
Nukuskasaru,54,1
NukuskasaruPrimary,32,1
Nulnessa,50,1
NulnessaPrimary,30,1
Olal,90,1
Olal(Tobol),32,1
OlwieSDA,64,1
OlwieSDAPrimary,32,1
Orap,122,1
Paamal,64,1
Paireve(Nasulesule),68,1
Pangi,60,1
PangiPrimary,30,1
Pango,78,1
PangoEnglishPrimary,48,1
Parker,36,1
Pasalele,94,1
PeterPanInternationalPrimary,40,1
Petros,94,1
Pialulup,126,1
Piamatsina,88,1
Pikayer,26,1
PikininiPlaytimeChildcare&EducationCentre,68,1
Pinapow,92,1
PointCross(Benmotri),84,1
PortMelou,78,1
PortNarvin,94,1
PortPatrick,90,1
PortQuimie,32,1
PortResolution,88,1
PortVato,140,1
Puama(Porema),80,1
Qatuneala,64,1
QatunealaPrimary,32,1
Quatui,40,1
QuatuiPrimary,24,1
Rambeck,50,1
Rangusuksu,56,1
RangusuksuPrimary,30,1
Ranmawot,60,1
RanmawotPrimary,32,1
Ranon,124,1
RanwadiChurchofChristCollege,16,1
RanwadiHighSchool,16,1
Ranwas,40,1
RanwasPrimary,26,1
RaynoldMemorial(Nagole),56,1
Rensarie,32,1
Rensarie(Tembibi),92,1
Roau,70,1
RoauPrimary,42,1
RobinMemorial,76,1
Roromai,92,1
Rowhani,126,1
SakauPrimarySchool,56,1
Saletui,114,1
Sanesup,46,1
Sangalai,108,1
SangalaiCollege,14,1
Sanlang,116,1
SantaMaria,90,1
SantoEast,126,1
Sara,120,1
Sarabulu,24,1
SarabuluPrimary,22,1
Sarakata,90,1
SarakataSDA,54,1
Sarantar,42,1
SaraPrimary,30,1
School,46,1
SeaSideCommunity,16,1
SeaSideCommunityPrimary,32,1
SeaSideCommunitySchool,62,1
SeaSideCommunitySecondary,16,1
Selusa,82,1
Selusia,92,1
Senai,92,1
Senecol,22,1
SenecolPrimary,24,1
Sessivi,120,1
Shelil,70,1
ShemRolley,90,1
Sikembo,58,1
SikemboPrimary,22,1
SilvaMemorial(Vales),82,1
Simon,24,1
SimonPimary,30,1
SoriMauri(Lolkasai),88,1
Sorovanga,58,1
SorovangaPrimary,24,1
SorovangaSecondary,16,1
SouthMalekula(Lonvat),32,1
SouthWestBay,120,1
St.Banabas(TurtelBay),30,1
StBanabas(TurtelBay),60,1
Ste.Anne(PortOlry),140,1
SteJeanned'ArcPortVila,96,1
SteTheresedeMae,84,1
Ste.ThereseLuganville,48,1
SteThereseLuganville,72,1
St.Henri(Lonfis),28,1
StHenri(Lonfis),42,1
St.Jacques,112,1
St.JeanBaptiste(Nangire),36,1
St.Joseph(Pesena),78,1
St.Joseph(Rowok),42,1
St.Louis,50,1
St.Michel,108,1
St.Patrick'sCollege,30,1
StPaul,32,1
St.PierreChanel(Lamap),96,1
St.Pierre(Okoro),88,1
Suango,64,1
SuangoFrench,30,1
SuangoMeleJuniorSecondary,32,1
Sulemauri,60,1
Sulua,114,1
Survival,78,1
Susana,24,1
Tafeacollege,32,1
TagagaSecondary,16,1
Taharo,78,1
Takara,46,1
TalaiRoroiLeleo,68,1
Tanbok,70,1
Tangovawia,92,1
Tanoliu,94,1
Tapisi,80,1
Tasiriki,94,1
Tasmalum,56,1
Tasvare,78,1
Tata,96,1
TataSecondarySchool,30,1
Tautu,96,1
Tavumae,80,1
TawiakPrimarySchool,70,1
Tcharanavusvus,70,1
Telhei,88,1
TelheiJuniorSecondary,16,1
Telvet,76,1
TeoumaChristianAcademy,28,1
Teruja,30,1
TerujaFrench,16,1
Tiasia,80,1
Tisman,94,1
Tobol,86,1
Topaen,88,1
Torlie,58,1
TorliePrimary,32,1
TovotovoForestryPrimary,90,1
Tsimbwege,64,1
TsimbwegePrimary,32,1
Tuhu,84,1
Ubiku,62,1
UbikuPrimary,30,1
Ulei,28,1
Umej,78,1
Umponielogi,90,1
Unmet,124,1
Uripiv,90,1
Vaes(Lequel),78,1
Vaget,90,1
Valabei,78,1
Vanmamla,30,1
VanmamlaPrimary,30,1
Vanruru,90,1
VanueMarama,72,1
VaoIlot,88,1
VatuhangelePrimary,28,1
Vauleli,78,1
Vaum,32,1
Velow,62,1
VenieMataipevu,76,1
VictorySchoolofHope,82,1
VilaEast,128,1
Vilakalaka,82,1
VilaNo2SDA,92,1
VilaNorth,132,1
Vinmavis,76,1
Volovuhu,8,1
VolovuhuPrimary,32,1
Votlo,78,1
Vovlei,76,1
Vuingalato,26,1
VuingalatoPrimary,26,1
VulumanuHighSchool,16,1
VulumanuSecondary,16,1
Vunabulu,88,1
Vunakariakara,78,1
VusfongoJuniorM.School,66,1
Vusiroro,84,1
Waisine,24,1
WaisinePrimary,32,1
Walaha,34,1
WalahaPrimary,30,1
Walarano,32,1
Wiaru,20,1
Wilak,50,1
WilliamBaySecondary,36,1
Winn,68,1
Winsao,84,1
Womul,70,1
Wongyeskei,80,1
Wora,80,1
Worarana,80,1
Wosok,84,1
Wuro,112,1
Yapilmai,80,1
Yenavaten,92,1
Yenumakel,86,1
Yevali,64,1
Yevenkula,84,1
Zion,88,1
