Year,Country,Value
2016,,-44383
2017,,-34265
2018,,-36240
2019,,-34542
2020,,-29312
2021,,-31318
2022,,-24895
2023,,-43429
2016,Australia,-8904
2017,Australia,-8105
2018,Australia,-8443
2019,Australia,-7186
2020,Australia,-6449
2021,Australia,-7603
2022,Australia,-4816
2023,Australia,-7380
2016,China,-5656
2017,China,-5267
2018,China,-4012
2019,China,-4079
2020,China,-3261
2021,China,-3741
2022,China,-3440
2023,China,-5365
2016,Fiji,-4520
2017,Fiji,-3751
2018,Fiji,-2713
2019,Fiji,-2541
2020,Fiji,-2784
2021,Fiji,-2709
2022,Fiji,-1818
2023,Fiji,-3437
2016,France,-2128
2017,France,-1025
2018,France,-920
2019,France,-709
2020,France,-763
2021,France,-709
2022,France,-595
2023,France,-1136
2016,Hong Kong,-914
2017,Hong Kong,-1229
2018,Hong Kong,-1054
2019,Hong Kong,-974
2020,Hong Kong,-914
2021,Hong Kong,-916
2022,Hong Kong,-402
2023,Hong Kong,-1270
2016,India,-249
2017,India,-302
2018,India,-315
2019,India,-299
2020,India,-264
2021,India,-385
2022,India,-326
2023,India,-560
2016,Indonesia,-427
2017,Indonesia,-497
2018,Indonesia,-452
2019,Indonesia,-609
2020,Indonesia,-492
2021,Indonesia,-577
2022,Indonesia,-458
2023,Indonesia,-764
2016,Japan,-2815
2017,Japan,-1911
2018,Japan,-2722
2019,Japan,-2344
2020,Japan,-1457
2021,Japan,-1315
2022,Japan,-1058
2023,Japan,-3235
2016,Republic of Korea,-931
2017,Republic of Korea,-776
2018,Republic of Korea,-638
2019,Republic of Korea,-598
2020,Republic of Korea,-555
2021,Republic of Korea,-466
2022,Republic of Korea,-416
2023,Republic of Korea,-712
2016,Malaysia,370
2017,Malaysia,534
2018,Malaysia,254
2019,Malaysia,80
2020,Malaysia,-137
2021,Malaysia,-207
2022,Malaysia,-14
2023,Malaysia,-382
2016,Netherlands,-4649
2017,Netherlands,-86
2018,Netherlands,-59
2019,Netherlands,-64
2020,Netherlands,-52
2021,Netherlands,-118
2022,Netherlands,-91
2023,Netherlands,-136
2016,New Caledonia,-244
2017,New Caledonia,-198
2018,New Caledonia,-278
2019,New Caledonia,80
2020,New Caledonia,202
2021,New Caledonia,41
2022,New Caledonia,121
2023,New Caledonia,34
2016,New Zealand,-4937
2017,New Zealand,-3913
2018,New Zealand,-3814
2019,New Zealand,-3638
2020,New Zealand,-3790
2021,New Zealand,-3335
2022,New Zealand,-2493
2023,New Zealand,-3535
2016,Papua New Guinea,13
2017,Papua New Guinea,131
2018,Papua New Guinea,-92
2019,Papua New Guinea,-168
2020,Papua New Guinea,-250
2021,Papua New Guinea,-120
2022,Papua New Guinea,-97
2023,Papua New Guinea,-187
2016,Philippines,
2017,Philippines,1637
2018,Philippines,104
2019,Philippines,154
2020,Philippines,202
2021,Philippines,537
2022,Philippines,558
2023,Philippines,101
2016,Singapore,-5349
2017,Singapore,-7277
2018,Singapore,-9185
2019,Singapore,-9781
2020,Singapore,-6279
2021,Singapore,-6491
2022,Singapore,-7452
2023,Singapore,-10777
2016,Solomon Islands,-12
2017,Solomon Islands,-147
2018,Solomon Islands,-210
2019,Solomon Islands,-178
2020,Solomon Islands,-192
2021,Solomon Islands,-124
2022,Solomon Islands,293
2023,Solomon Islands,-487
2016,Thailand,-1380
2017,Thailand,-1657
2018,Thailand,-1563
2019,Thailand,-1353
2020,Thailand,-1183
2021,Thailand,-1537
2022,Thailand,-1663
2023,Thailand,-3012
2016,United Kingdom,-90
2017,United Kingdom,-131
2018,United Kingdom,-23
2019,United Kingdom,-35
2020,United Kingdom,-29
2021,United Kingdom,-38
2022,United Kingdom,-36
2023,United Kingdom,-124
2016,USA,-1562
2017,USA,-295
2018,USA,-1
2019,USA,-197
2020,USA,50
2021,USA,-47
2022,USA,55
2023,USA,-88
