Year,Series,Principal Export,Main Country of Destination,Units,Value
2017,Value (in million vatu),,,VUV,4645
2017,Value (in million vatu),Beef,,VUV,178
2017,Value (in million vatu),Cocoa,,VUV,164
2017,Value (in million vatu),Coconut oil,,VUV,814
2017,Value (in million vatu),Copra,,VUV,1811
2017,Value (in million vatu),Kava,,VUV,1277
2017,Value (in million vatu),Wood ,,VUV,401
2017,Value (in million vatu),Beef,JAPAN,VUV,91
2017,Value (in million vatu),Beef,PAPUA NEW GUINEA,VUV,50
2017,Value (in million vatu),Beef,SOLOMON ISLANDS,VUV,38
2017,Value (in million vatu),Cocoa,MALAYSIA,VUV,141
2017,Value (in million vatu),Cocoa,AUSTRALIA,VUV,18
2017,Value (in million vatu),Cocoa,BELGIUM,VUV,2
2017,Value (in million vatu),Cocoa,UNITED KINGDOM,VUV,2
2017,Value (in million vatu),Cocoa,NEW ZEALAND,VUV,1
2017,Value (in million vatu),Coconut oil,MALAYSIA,VUV,622
2017,Value (in million vatu),Coconut oil,"TAIWAN, PROVINCE OF CHINA",VUV,124
2017,Value (in million vatu),Coconut oil,NEW ZEALAND,VUV,51
2017,Value (in million vatu),Coconut oil,AUSTRALIA,VUV,12
2017,Value (in million vatu),Coconut oil,NEW CALEDONIA,VUV,4
2017,Value (in million vatu),Copra,PHILIPPINES,VUV,1715
2017,Value (in million vatu),Copra,BANGLADESH,VUV,96
2017,Value (in million vatu),Copra,AUSTRALIA,VUV,0
2017,Value (in million vatu),Copra,NEW CALEDONIA,VUV,0
2017,Value (in million vatu),Kava,KIRIBATI,VUV,383
2017,Value (in million vatu),Kava,FIJI,VUV,307
2017,Value (in million vatu),Kava,UNITED STATES OF AMERICA,VUV,291
2017,Value (in million vatu),Kava,NEW CALEDONIA,VUV,236
2017,Value (in million vatu),Kava,"CHINA, PEOPLES REPUBLIC OF",VUV,31
2017,Value (in million vatu),Wood,"CHINA, PEOPLES REPUBLIC OF",VUV,302
2017,Value (in million vatu),Wood,HONG KONG,VUV,72
2017,Value (in million vatu),Wood,AUSTRALIA,VUV,23
2017,Value (in million vatu),Wood,NEW CALEDONIA,VUV,3
2017,Value (in million vatu),Wood,FIJI,VUV,1
2018,Value (in million vatu),,,VUV,3774
2018,Value (in million vatu),Beef,,VUV,66
2018,Value (in million vatu),Cocoa,,VUV,193
2018,Value (in million vatu),Coconut oil,,VUV,402
2018,Value (in million vatu),Copra,,VUV,424
2018,Value (in million vatu),Kava,,VUV,2514
2018,Value (in million vatu),Wood,,VUV,175
2018,Value (in million vatu),Beef,JAPAN,VUV,41
2018,Value (in million vatu),Beef,SOLOMON ISLANDS,VUV,9
2018,Value (in million vatu),Beef,PAPUA NEW GUINEA,VUV,8
2018,Value (in million vatu),Beef,AUSTRALIA,VUV,8
2018,Value (in million vatu),Cocoa,MALAYSIA,VUV,153
2018,Value (in million vatu),Cocoa,INDONESIA,VUV,15
2018,Value (in million vatu),Cocoa,ITALY,VUV,12
2018,Value (in million vatu),Cocoa,AUSTRALIA,VUV,6
2018,Value (in million vatu),Cocoa,NEW ZEALAND,VUV,3
2018,Value (in million vatu),Coconut oil,MALAYSIA,VUV,372
2018,Value (in million vatu),Coconut oil,NEW ZEALAND,VUV,17
2018,Value (in million vatu),Coconut oil,AUSTRALIA,VUV,11
2018,Value (in million vatu),Coconut oil,NEW CALEDONIA,VUV,1
2018,Value (in million vatu),Coconut oil,FRENCH POLYNESIA,VUV,0
2018,Value (in million vatu),Copra,PHILIPPINES,VUV,239
2018,Value (in million vatu),Copra,BANGLADESH,VUV,185
2018,Value (in million vatu),Copra,AUSTRALIA,VUV,0
2018,Value (in million vatu),Kava,UNITED STATES OF AMERICA,VUV,768
2018,Value (in million vatu),Kava,FIJI,VUV,616
2018,Value (in million vatu),Kava,KIRIBATI,VUV,583
2018,Value (in million vatu),Kava,NEW CALEDONIA,VUV,396
2018,Value (in million vatu),Kava,"CHINA, PEOPLES REPUBLIC OF",VUV,129
2018,Value (in million vatu),Wood,HONG KONG,VUV,73
2018,Value (in million vatu),Wood,"CHINA, PEOPLES REPUBLIC OF",VUV,69
2018,Value (in million vatu),Wood,VIET NAM,VUV,27
2018,Value (in million vatu),Wood,NEW CALEDONIA,VUV,6
2018,Value (in million vatu),Wood,FIJI,VUV,0
2019,Value (in million vatu),,,VUV,3986
2019,Value (in million vatu),Beef,,VUV,96
2019,Value (in million vatu),Cocoa,,VUV,270
2019,Value (in million vatu),Coconut oil,,VUV,284
2019,Value (in million vatu),Copra,,VUV,265
2019,Value (in million vatu),Kava,,VUV,2972
2019,Value (in million vatu),Wood,,VUV,100
2019,Value (in million vatu),Beef,AUSTRALIA,VUV,47
2019,Value (in million vatu),Beef,JAPAN,VUV,40
2019,Value (in million vatu),Beef,SOLOMON ISLANDS,VUV,9
2019,Value (in million vatu),Cocoa,MALAYSIA,VUV,246
2019,Value (in million vatu),Cocoa,INDONESIA,VUV,7
2019,Value (in million vatu),Cocoa,AUSTRALIA,VUV,6
2019,Value (in million vatu),Cocoa,NEW ZEALAND,VUV,4
2019,Value (in million vatu),Cocoa,UNITED KINGDOM,VUV,3
2019,Value (in million vatu),Ccoconut oil,MALAYSIA,VUV,121
2019,Value (in million vatu),Ccoconut oil,BANGLADESH,VUV,115
2019,Value (in million vatu),Ccoconut oil,INDIA,VUV,28
2019,Value (in million vatu),Ccoconut oil,SINGAPORE,VUV,10
2019,Value (in million vatu),Ccoconut oil,NEW ZEALAND,VUV,5
2019,Value (in million vatu),Copra,PHILIPPINES,VUV,244
2019,Value (in million vatu),Copra,BANGLADESH,VUV,21
2019,Value (in million vatu),Copra,AUSTRALIA,VUV,0
2019,Value (in million vatu),Kava,FIJI,VUV,963
2019,Value (in million vatu),Kava,KIRIBATI,VUV,694
2019,Value (in million vatu),Kava,NEW CALEDONIA,VUV,471
2019,Value (in million vatu),Kava,UNITED STATES OF AMERICA,VUV,401
2019,Value (in million vatu),Kava,"CHINA, PEOPLES REPUBLIC OF",VUV,165
2019,Value (in million vatu),Wood,"CHINA, PEOPLES REPUBLIC OF",VUV,73
2019,Value (in million vatu),Wood,VIET NAM,VUV,14
2019,Value (in million vatu),Wood,NEW CALEDONIA,VUV,6
2019,Value (in million vatu),Wood,AUSTRALIA,VUV,5
2019,Value (in million vatu),Wood,FRANCE,VUV,1
2020,Value (in million vatu),,,VUV,4653
2020,Value (in million vatu),Beef,,VUV,159
2020,Value (in million vatu),Cocoa,,VUV,393
2020,Value (in million vatu),Coconut Oil,,VUV,150
2020,Value (in million vatu),Copra,,VUV,845
2020,Value (in million vatu),Kava,,VUV,2557
2020,Value (in million vatu),Wood,,VUV,549
2020,Value (in million vatu),Beef,JAPAN,VUV,47
2020,Value (in million vatu),Beef,AUSTRALIA,VUV,22
2020,Value (in million vatu),Beef,SOLOMON ISLANDS,VUV,16
2020,Value (in million vatu),Cocoa,MALAYSIA,VUV,150
2020,Value (in million vatu),Cocoa,INDONESIA,VUV,19
2020,Value (in million vatu),Cocoa,ITALY,VUV,3
2020,Value (in million vatu),Cocoa,NEW ZEALAND,VUV,3
2020,Value (in million vatu),Cocoa,AUSTRALIA,VUV,1
2020,Value (in million vatu),Coconut oil,SRI LANKA,VUV,95
2020,Value (in million vatu),Coconut oil,MALAYSIA,VUV,48
2020,Value (in million vatu),Coconut oil,AUSTRALIA,VUV,14
2020,Value (in million vatu),Coconut oil,NETHERLANDS,VUV,6
2020,Value (in million vatu),Coconut oil,SINGAPORE,VUV,3
2020,Value (in million vatu),Copra,PHILIPPINES,VUV,290
2020,Value (in million vatu),Copra,BANGLADESH,VUV,46
2020,Value (in million vatu),Kava,FIJI,VUV,787
2020,Value (in million vatu),Kava,NEW CALEDONIA,VUV,531
2020,Value (in million vatu),Kava,KIRIBATI,VUV,475
2020,Value (in million vatu),Kava,UNITED STATES OF AMERICA,VUV,473
2020,Value (in million vatu),Kava,"CHINA, PEOPLES REPUBLIC OF",VUV,227
2020,Value (in million vatu),Wood,NEW CALEDONIA,VUV,6
2020,Value (in million vatu),Wood,"CHINA, PEOPLES REPUBLIC OF",VUV,1
2020,Value (in million vatu),Wood,CZECH REPUBLIC,VUV,0
2020,Value (in million vatu),Wood,AUSTRALIA,VUV,1
2020,Value (in million vatu),Wood,FIJI,VUV,0
2021,Value (in million vatu),,,VUV,4653
2021,Value (in million vatu),Beef,,VUV,159
2021,Value (in million vatu),Cocoa,,VUV,393
2021,Value (in million vatu),Coconut Oil,,VUV,150
2021,Value (in million vatu),Copra,,VUV,845
2021,Value (in million vatu),Kava,,VUV,2557
2021,Value (in million vatu),Wood,,VUV,549
2021,Value (in million vatu),Beef,JAPAN,VUV,12
2021,Value (in million vatu),Beef,NEW ZEALAND,VUV,24
2021,Value (in million vatu),Beef,PAPUA NEW GUINEA,VUV,79
2021,Value (in million vatu),Beef,SOLOMON ISLANDS,VUV,44
2021,Value (in million vatu),Cocoa,MALAYSIA,VUV,247
2021,Value (in million vatu),Cocoa,INDONESIA,VUV,120
2021,Value (in million vatu),Cocoa,NEW CALEDONIA,VUV,20
2021,Value (in million vatu),Cocoa,AUSTRALIA,VUV,2
2021,Value (in million vatu),Cocoa,FRENCH POLYNESIA,VUV,1
