Year,Province,Area Council,Sex,Age ,Value
2016,Malampa,central malekula,Male,0-4,493
2016,Malampa,central malekula,Male,5-9,418
2016,Malampa,central malekula,Male,10-14,315
2016,Malampa,central malekula,Male,15-19,251
2016,Malampa,central malekula,Male,20-24,207
2016,Malampa,central malekula,Male,25-29,231
2016,Malampa,central malekula,Male,30-34,201
2016,Malampa,central malekula,Male,35-39,199
2016,Malampa,central malekula,Male,40-44,170
2016,Malampa,central malekula,Male,45-49,156
2016,Malampa,central malekula,Male,50-54,107
2016,Malampa,central malekula,Male,55-59,83
2016,Malampa,central malekula,Male,60-64,67
2016,Malampa,central malekula,Male,65-69,52
2016,Malampa,central malekula,Male,70 +,104
2016,Malampa,central malekula,Female,0-4,464
2016,Malampa,central malekula,Female,5-9,419
2016,Malampa,central malekula,Female,10-14,312
2016,Malampa,central malekula,Female,15-19,217
2016,Malampa,central malekula,Female,20-24,242
2016,Malampa,central malekula,Female,25-29,265
2016,Malampa,central malekula,Female,30-34,228
2016,Malampa,central malekula,Female,35-39,216
2016,Malampa,central malekula,Female,40-44,171
2016,Malampa,central malekula,Female,45-49,127
2016,Malampa,central malekula,Female,50-54,118
2016,Malampa,central malekula,Female,55-59,92
2016,Malampa,central malekula,Female,60-64,63
2016,Malampa,central malekula,Female,65-69,50
2016,Malampa,central malekula,Female,70 +,77
2016,Malampa,north ambrym,Male,0-4,213
2016,Malampa,north ambrym,Male,5-9,214
2016,Malampa,north ambrym,Male,10-14,196
2016,Malampa,north ambrym,Male,15-19,117
2016,Malampa,north ambrym,Male,20-24,101
2016,Malampa,north ambrym,Male,25-29,89
2016,Malampa,north ambrym,Male,30-34,80
2016,Malampa,north ambrym,Male,35-39,72
2016,Malampa,north ambrym,Male,40-44,72
2016,Malampa,north ambrym,Male,45-49,59
2016,Malampa,north ambrym,Male,50-54,58
2016,Malampa,north ambrym,Male,55-59,41
2016,Malampa,north ambrym,Male,60-64,46
2016,Malampa,north ambrym,Male,65-69,22
2016,Malampa,north ambrym,Male,70 +,79
2016,Malampa,north ambrym,Female,0-4,205
2016,Malampa,north ambrym,Female,5-9,211
2016,Malampa,north ambrym,Female,10-14,173
2016,Malampa,north ambrym,Female,15-19,122
2016,Malampa,north ambrym,Female,20-24,113
2016,Malampa,north ambrym,Female,25-29,137
2016,Malampa,north ambrym,Female,30-34,107
2016,Malampa,north ambrym,Female,35-39,94
2016,Malampa,north ambrym,Female,40-44,72
2016,Malampa,north ambrym,Female,45-49,64
2016,Malampa,north ambrym,Female,50-54,62
2016,Malampa,north ambrym,Female,55-59,45
2016,Malampa,north ambrym,Female,60-64,47
2016,Malampa,north ambrym,Female,65-69,36
2016,Malampa,north ambrym,Female,70 +,72
2016,Malampa,north east malekula,Male,0-4,536
2016,Malampa,north east malekula,Male,5-9,552
2016,Malampa,north east malekula,Male,10-14,416
2016,Malampa,north east malekula,Male,15-19,254
2016,Malampa,north east malekula,Male,20-24,193
2016,Malampa,north east malekula,Male,25-29,222
2016,Malampa,north east malekula,Male,30-34,243
2016,Malampa,north east malekula,Male,35-39,223
2016,Malampa,north east malekula,Male,40-44,159
2016,Malampa,north east malekula,Male,45-49,165
2016,Malampa,north east malekula,Male,50-54,136
2016,Malampa,north east malekula,Male,55-59,119
2016,Malampa,north east malekula,Male,60-64,93
2016,Malampa,north east malekula,Male,65-69,91
2016,Malampa,north east malekula,Male,70 +,206
2016,Malampa,north east malekula,Female,0-4,480
2016,Malampa,north east malekula,Female,5-9,576
2016,Malampa,north east malekula,Female,10-14,369
2016,Malampa,north east malekula,Female,15-19,235
2016,Malampa,north east malekula,Female,20-24,247
2016,Malampa,north east malekula,Female,25-29,263
2016,Malampa,north east malekula,Female,30-34,269
2016,Malampa,north east malekula,Female,35-39,223
2016,Malampa,north east malekula,Female,40-44,163
2016,Malampa,north east malekula,Female,45-49,140
2016,Malampa,north east malekula,Female,50-54,149
2016,Malampa,north east malekula,Female,55-59,123
2016,Malampa,north east malekula,Female,60-64,92
2016,Malampa,north east malekula,Female,65-69,50
2016,Malampa,north east malekula,Female,70 +,163
2016,Malampa,north west malekula,Male,0-4,448
2016,Malampa,north west malekula,Male,5-9,493
2016,Malampa,north west malekula,Male,10-14,357
2016,Malampa,north west malekula,Male,15-19,227
2016,Malampa,north west malekula,Male,20-24,149
2016,Malampa,north west malekula,Male,25-29,187
2016,Malampa,north west malekula,Male,30-34,179
2016,Malampa,north west malekula,Male,35-39,171
2016,Malampa,north west malekula,Male,40-44,97
2016,Malampa,north west malekula,Male,45-49,104
2016,Malampa,north west malekula,Male,50-54,64
2016,Malampa,north west malekula,Male,55-59,55
2016,Malampa,north west malekula,Male,60-64,52
2016,Malampa,north west malekula,Male,65-69,54
2016,Malampa,north west malekula,Male,70 +,126
2016,Malampa,north west malekula,Female,0-4,435
2016,Malampa,north west malekula,Female,5-9,425
2016,Malampa,north west malekula,Female,10-14,302
2016,Malampa,north west malekula,Female,15-19,194
2016,Malampa,north west malekula,Female,20-24,181
2016,Malampa,north west malekula,Female,25-29,236
2016,Malampa,north west malekula,Female,30-34,201
2016,Malampa,north west malekula,Female,35-39,151
2016,Malampa,north west malekula,Female,40-44,121
2016,Malampa,north west malekula,Female,45-49,106
2016,Malampa,north west malekula,Female,50-54,64
2016,Malampa,north west malekula,Female,55-59,48
2016,Malampa,north west malekula,Female,60-64,34
2016,Malampa,north west malekula,Female,65-69,45
2016,Malampa,north west malekula,Female,70 +,101
2016,Malampa,paama,Male,0-4,99
2016,Malampa,paama,Male,5-9,115
2016,Malampa,paama,Male,10-14,109
2016,Malampa,paama,Male,15-19,68
2016,Malampa,paama,Male,20-24,49
2016,Malampa,paama,Male,25-29,47
2016,Malampa,paama,Male,30-34,33
2016,Malampa,paama,Male,35-39,42
2016,Malampa,paama,Male,40-44,42
2016,Malampa,paama,Male,45-49,37
2016,Malampa,paama,Male,50-54,34
2016,Malampa,paama,Male,55-59,25
2016,Malampa,paama,Male,60-64,32
2016,Malampa,paama,Male,65-69,20
2016,Malampa,paama,Male,70 +,68
2016,Malampa,paama,Female,0-4,101
2016,Malampa,paama,Female,5-9,94
2016,Malampa,paama,Female,10-14,100
2016,Malampa,paama,Female,15-19,60
2016,Malampa,paama,Female,20-24,49
2016,Malampa,paama,Female,25-29,54
2016,Malampa,paama,Female,30-34,58
2016,Malampa,paama,Female,35-39,42
2016,Malampa,paama,Female,40-44,40
2016,Malampa,paama,Female,45-49,30
2016,Malampa,paama,Female,50-54,54
2016,Malampa,paama,Female,55-59,20
2016,Malampa,paama,Female,60-64,33
2016,Malampa,paama,Female,65-69,20
2016,Malampa,paama,Female,70 +,56
2016,Malampa,south east ambrym,Male,0-4,87
2016,Malampa,south east ambrym,Male,5-9,147
2016,Malampa,south east ambrym,Male,10-14,94
2016,Malampa,south east ambrym,Male,15-19,40
2016,Malampa,south east ambrym,Male,20-24,55
2016,Malampa,south east ambrym,Male,25-29,48
2016,Malampa,south east ambrym,Male,30-34,62
2016,Malampa,south east ambrym,Male,35-39,39
2016,Malampa,south east ambrym,Male,40-44,43
2016,Malampa,south east ambrym,Male,45-49,30
2016,Malampa,south east ambrym,Male,50-54,41
2016,Malampa,south east ambrym,Male,55-59,20
2016,Malampa,south east ambrym,Male,60-64,28
2016,Malampa,south east ambrym,Male,65-69,12
2016,Malampa,south east ambrym,Male,70 +,45
2016,Malampa,south east ambrym,Female,0-4,90
2016,Malampa,south east ambrym,Female,5-9,122
2016,Malampa,south east ambrym,Female,10-14,73
2016,Malampa,south east ambrym,Female,15-19,29
2016,Malampa,south east ambrym,Female,20-24,63
2016,Malampa,south east ambrym,Female,25-29,63
2016,Malampa,south east ambrym,Female,30-34,60
2016,Malampa,south east ambrym,Female,35-39,39
2016,Malampa,south east ambrym,Female,40-44,48
2016,Malampa,south east ambrym,Female,45-49,33
2016,Malampa,south east ambrym,Female,50-54,33
2016,Malampa,south east ambrym,Female,55-59,20
2016,Malampa,south east ambrym,Female,60-64,30
2016,Malampa,south east ambrym,Female,65-69,13
2016,Malampa,south east ambrym,Female,70 +,42
2016,Malampa,south east malekula,Male,0-4,424
2016,Malampa,south east malekula,Male,5-9,427
2016,Malampa,south east malekula,Male,10-14,278
2016,Malampa,south east malekula,Male,15-19,205
2016,Malampa,south east malekula,Male,20-24,209
2016,Malampa,south east malekula,Male,25-29,188
2016,Malampa,south east malekula,Male,30-34,162
2016,Malampa,south east malekula,Male,35-39,140
2016,Malampa,south east malekula,Male,40-44,106
2016,Malampa,south east malekula,Male,45-49,115
2016,Malampa,south east malekula,Male,50-54,73
2016,Malampa,south east malekula,Male,55-59,60
2016,Malampa,south east malekula,Male,60-64,61
2016,Malampa,south east malekula,Male,65-69,35
2016,Malampa,south east malekula,Male,70 +,64
2016,Malampa,south east malekula,Female,0-4,415
2016,Malampa,south east malekula,Female,5-9,334
2016,Malampa,south east malekula,Female,10-14,251
2016,Malampa,south east malekula,Female,15-19,177
2016,Malampa,south east malekula,Female,20-24,249
2016,Malampa,south east malekula,Female,25-29,176
2016,Malampa,south east malekula,Female,30-34,156
2016,Malampa,south east malekula,Female,35-39,145
2016,Malampa,south east malekula,Female,40-44,113
2016,Malampa,south east malekula,Female,45-49,91
2016,Malampa,south east malekula,Female,50-54,86
2016,Malampa,south east malekula,Female,55-59,67
2016,Malampa,south east malekula,Female,60-64,55
2016,Malampa,south east malekula,Female,65-69,28
2016,Malampa,south east malekula,Female,70 +,52
2016,Malampa,south malekula,Male,0-4,242
2016,Malampa,south malekula,Male,5-9,286
2016,Malampa,south malekula,Male,10-14,234
2016,Malampa,south malekula,Male,15-19,145
2016,Malampa,south malekula,Male,20-24,131
2016,Malampa,south malekula,Male,25-29,132
2016,Malampa,south malekula,Male,30-34,118
2016,Malampa,south malekula,Male,35-39,128
2016,Malampa,south malekula,Male,40-44,104
2016,Malampa,south malekula,Male,45-49,99
2016,Malampa,south malekula,Male,50-54,63
2016,Malampa,south malekula,Male,55-59,65
2016,Malampa,south malekula,Male,60-64,60
2016,Malampa,south malekula,Male,65-69,41
2016,Malampa,south malekula,Male,70 +,70
2016,Malampa,south malekula,Female,0-4,267
2016,Malampa,south malekula,Female,5-9,299
2016,Malampa,south malekula,Female,10-14,237
2016,Malampa,south malekula,Female,15-19,161
2016,Malampa,south malekula,Female,20-24,163
2016,Malampa,south malekula,Female,25-29,153
2016,Malampa,south malekula,Female,30-34,122
2016,Malampa,south malekula,Female,35-39,136
2016,Malampa,south malekula,Female,40-44,91
2016,Malampa,south malekula,Female,45-49,86
2016,Malampa,south malekula,Female,50-54,73
2016,Malampa,south malekula,Female,55-59,57
2016,Malampa,south malekula,Female,60-64,31
2016,Malampa,south malekula,Female,65-69,29
2016,Malampa,south malekula,Female,70 +,56
2016,Malampa,south west malekula,Male,0-4,286
2016,Malampa,south west malekula,Male,5-9,264
2016,Malampa,south west malekula,Male,10-14,186
2016,Malampa,south west malekula,Male,15-19,107
2016,Malampa,south west malekula,Male,20-24,111
2016,Malampa,south west malekula,Male,25-29,155
2016,Malampa,south west malekula,Male,30-34,121
2016,Malampa,south west malekula,Male,35-39,102
2016,Malampa,south west malekula,Male,40-44,102
2016,Malampa,south west malekula,Male,45-49,78
2016,Malampa,south west malekula,Male,50-54,73
2016,Malampa,south west malekula,Male,55-59,52
2016,Malampa,south west malekula,Male,60-64,40
2016,Malampa,south west malekula,Male,65-69,41
2016,Malampa,south west malekula,Male,70 +,74
2016,Malampa,south west malekula,Female,0-4,268
2016,Malampa,south west malekula,Female,5-9,229
2016,Malampa,south west malekula,Female,10-14,152
2016,Malampa,south west malekula,Female,15-19,101
2016,Malampa,south west malekula,Female,20-24,124
2016,Malampa,south west malekula,Female,25-29,143
2016,Malampa,south west malekula,Female,30-34,135
2016,Malampa,south west malekula,Female,35-39,123
2016,Malampa,south west malekula,Female,40-44,98
2016,Malampa,south west malekula,Female,45-49,87
2016,Malampa,south west malekula,Female,50-54,73
2016,Malampa,south west malekula,Female,55-59,47
2016,Malampa,south west malekula,Female,60-64,29
2016,Malampa,south west malekula,Female,65-69,31
2016,Malampa,south west malekula,Female,70 +,56
2016,Malampa,west ambrym,Male,0-4,201
2016,Malampa,west ambrym,Male,5-9,194
2016,Malampa,west ambrym,Male,10-14,200
2016,Malampa,west ambrym,Male,15-19,123
2016,Malampa,west ambrym,Male,20-24,101
2016,Malampa,west ambrym,Male,25-29,99
2016,Malampa,west ambrym,Male,30-34,69
2016,Malampa,west ambrym,Male,35-39,81
2016,Malampa,west ambrym,Male,40-44,64
2016,Malampa,west ambrym,Male,45-49,63
2016,Malampa,west ambrym,Male,50-54,58
2016,Malampa,west ambrym,Male,55-59,45
2016,Malampa,west ambrym,Male,60-64,39
2016,Malampa,west ambrym,Male,65-69,24
2016,Malampa,west ambrym,Male,70 +,67
2016,Malampa,west ambrym,Female,0-4,167
2016,Malampa,west ambrym,Female,5-9,181
2016,Malampa,west ambrym,Female,10-14,168
2016,Malampa,west ambrym,Female,15-19,101
2016,Malampa,west ambrym,Female,20-24,125
2016,Malampa,west ambrym,Female,25-29,102
2016,Malampa,west ambrym,Female,30-34,91
2016,Malampa,west ambrym,Female,35-39,73
2016,Malampa,west ambrym,Female,40-44,92
2016,Malampa,west ambrym,Female,45-49,56
2016,Malampa,west ambrym,Female,50-54,53
2016,Malampa,west ambrym,Female,55-59,54
2016,Malampa,west ambrym,Female,60-64,44
2016,Malampa,west ambrym,Female,65-69,28
2016,Malampa,west ambrym,Female,70 +,54
2016,Penama,central pentecost 1,Male,0-4,210
2016,Penama,central pentecost 1,Male,5-9,206
2016,Penama,central pentecost 1,Male,10-14,173
2016,Penama,central pentecost 1,Male,15-19,122
2016,Penama,central pentecost 1,Male,20-24,101
2016,Penama,central pentecost 1,Male,25-29,95
2016,Penama,central pentecost 1,Male,30-34,90
2016,Penama,central pentecost 1,Male,35-39,68
2016,Penama,central pentecost 1,Male,40-44,69
2016,Penama,central pentecost 1,Male,45-49,60
2016,Penama,central pentecost 1,Male,50-54,52
2016,Penama,central pentecost 1,Male,55-59,26
2016,Penama,central pentecost 1,Male,60-64,27
2016,Penama,central pentecost 1,Male,65-69,12
2016,Penama,central pentecost 1,Male,70 +,46
2016,Penama,central pentecost 1,Female,0-4,172
2016,Penama,central pentecost 1,Female,5-9,198
2016,Penama,central pentecost 1,Female,10-14,154
2016,Penama,central pentecost 1,Female,15-19,102
2016,Penama,central pentecost 1,Female,20-24,111
2016,Penama,central pentecost 1,Female,25-29,105
2016,Penama,central pentecost 1,Female,30-34,85
2016,Penama,central pentecost 1,Female,35-39,59
2016,Penama,central pentecost 1,Female,40-44,66
2016,Penama,central pentecost 1,Female,45-49,60
2016,Penama,central pentecost 1,Female,50-54,52
2016,Penama,central pentecost 1,Female,55-59,32
2016,Penama,central pentecost 1,Female,60-64,30
2016,Penama,central pentecost 1,Female,65-69,20
2016,Penama,central pentecost 1,Female,70 +,44
2016,Penama,central pentecost 2,Male,0-4,295
2016,Penama,central pentecost 2,Male,5-9,303
2016,Penama,central pentecost 2,Male,10-14,196
2016,Penama,central pentecost 2,Male,15-19,126
2016,Penama,central pentecost 2,Male,20-24,114
2016,Penama,central pentecost 2,Male,25-29,112
2016,Penama,central pentecost 2,Male,30-34,118
2016,Penama,central pentecost 2,Male,35-39,119
2016,Penama,central pentecost 2,Male,40-44,88
2016,Penama,central pentecost 2,Male,45-49,100
2016,Penama,central pentecost 2,Male,50-54,53
2016,Penama,central pentecost 2,Male,55-59,60
2016,Penama,central pentecost 2,Male,60-64,39
2016,Penama,central pentecost 2,Male,65-69,36
2016,Penama,central pentecost 2,Male,70 +,70
2016,Penama,central pentecost 2,Female,0-4,293
2016,Penama,central pentecost 2,Female,5-9,290
2016,Penama,central pentecost 2,Female,10-14,209
2016,Penama,central pentecost 2,Female,15-19,174
2016,Penama,central pentecost 2,Female,20-24,127
2016,Penama,central pentecost 2,Female,25-29,148
2016,Penama,central pentecost 2,Female,30-34,126
2016,Penama,central pentecost 2,Female,35-39,140
2016,Penama,central pentecost 2,Female,40-44,94
2016,Penama,central pentecost 2,Female,45-49,92
2016,Penama,central pentecost 2,Female,50-54,47
2016,Penama,central pentecost 2,Female,55-59,55
2016,Penama,central pentecost 2,Female,60-64,38
2016,Penama,central pentecost 2,Female,65-69,26
2016,Penama,central pentecost 2,Female,70 +,81
2016,Penama,east ambae,Male,0-4,173
2016,Penama,east ambae,Male,5-9,171
