Year,Series,Major Industry,Minor Industry,Unit of measure,Value
2015,Total number,,,Total number of businesses,3716
2015,Total number,Accommodation and food service activities,,Total number of businesses,477
2015,Total number,Administrative and support service activities,,Total number of businesses,209
2015,Total number,"Agriculture, forestry and fishing",,Total number of businesses,10
2015,Total number,"Arts, entertainment and recreation",,Total number of businesses,60
2015,Total number,Construction,,Total number of businesses,232
2015,Total number,Education,,Total number of businesses,38
2015,Total number,"Electricity, gas, steam and air conditioning supply",,Total number of businesses,4
2015,Total number,Financial and insurance activities,,Total number of businesses,86
2015,Total number,Human health and social work activities,,Total number of businesses,46
2015,Total number,Information and communication,,Total number of businesses,52
2015,Total number,Manufacturing,,Total number of businesses,224
2015,Total number,Mining and quarrying,,Total number of businesses,11
2015,Total number,Other service activities,,Total number of businesses,61
2015,Total number,"Professional, scientific and technical activities",,Total number of businesses,337
2015,Total number,Public administration and defence; compulsory social security,,Total number of businesses,0
2015,Total number,Real estate activities,,Total number of businesses,67
2015,Total number,Transportation and storage,,Total number of businesses,770
2015,Total number,"Water supply; sewerage, waste management and remediation activities",,Total number of businesses,11
2015,Total number,Wholesale and retail trade; repair of motor vehicles and motorcycles,,Total number of businesses,1021
2015,Proportion,Accommodation and food service activities,,Percentage of industry (%),13
2015,Proportion,Administrative and support service activities,,Percentage of industry (%),6
2015,Proportion,"Agriculture, forestry and fishing",,Percentage of industry (%),0
2015,Proportion,"Arts, entertainment and recreation",,Percentage of industry (%),2
2015,Proportion,Construction,,Percentage of industry (%),6
2015,Proportion,Education,,Percentage of industry (%),1
2015,Proportion,"Electricity, gas, steam and air conditioning supply",,Percentage of industry (%),0
2015,Proportion,Financial and insurance activities,,Percentage of industry (%),2
2015,Proportion,Human health and social work activities,,Percentage of industry (%),1
2015,Proportion,Information and communication,,Percentage of industry (%),1
2015,Proportion,Manufacturing,,Percentage of industry (%),6
2015,Proportion,Mining and quarrying,,Percentage of industry (%),0
2015,Proportion,Other service activities,,Percentage of industry (%),2
2015,Proportion,"Professional, scientific and technical activities",,Percentage of industry (%),9
2015,Proportion,Public administration and defence; compulsory social security,,Percentage of industry (%),0
