Year,Series,Ministry,Department,Value
2004,Original Budget,,,476
2005,Original Budget,,,454
2006,Original Budget,,,843
2007,Original Budget,,,605
2008,Original Budget,,,1215
2009,Original Budget,,,2529
2010,Original Budget,,,2791
2011,Original Budget,,,2724
2012,Original Budget,,,2005
2013,Original Budget,,,1785
2014,Original Budget,,,2800
2015,Original Budget,,,16372
2016,Original Budget,,,8320
2017,Original Budget,,,11239
2018,Original Budget,,,8500
2019,Original Budget,,,11377
2020,Original Budget,,,6796
2021,Original Budget,,,10474
2022,Original Budget,,,7677
2023,Original Budget,,,9534
2024,Original Budget,,,7442
2004,Original Budget,Constitutional Agencies,,3
2004,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,64
2004,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,25
2004,Original Budget,Ministry of Education & Training,,92
2004,Original Budget,Ministry of Finance and Economic Management,,80
2004,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,30
2004,Original Budget,Ministry of Health,,45
2004,Original Budget,Ministry of Infrastructure and Public Utilities,,23
2004,Original Budget,Ministry of Internal Affairs,,53
2004,Original Budget,Ministry of Justice and Social Welfare,,15
2004,Original Budget,"Ministry of Lands, Mines & Water Resources",,29
2004,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,6
2004,Original Budget,Prime Ministers Ministry,,11
2005,Original Budget,Constitutional Agencies,,12
2005,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,42
2005,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,45
2005,Original Budget,Ministry of Education & Training,,56
2005,Original Budget,Ministry of Finance and Economic Management,,112
2005,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,6
2005,Original Budget,Ministry of Health,,70
2005,Original Budget,Ministry of Infrastructure and Public Utilities,,4
2005,Original Budget,Ministry of Internal Affairs,,87
2005,Original Budget,Ministry of Justice and Social Welfare,,10
2005,Original Budget,"Ministry of Lands, Mines & Water Resources",,2
2005,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,5
2005,Original Budget,Ministry of Youth Development and Sports,,4
2005,Original Budget,Prime Ministers Ministry,,1
2006,Original Budget,Constitutional Agencies,,17
2006,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,66
2006,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,51
2006,Original Budget,Ministry of Education & Training,,157
2006,Original Budget,Ministry of Finance and Economic Management,,253
2006,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,6
2006,Original Budget,Ministry of Health,,86
2006,Original Budget,Ministry of Infrastructure and Public Utilities,,15
2006,Original Budget,Ministry of Internal Affairs,,80
2006,Original Budget,Ministry of Justice and Social Welfare,,74
2006,Original Budget,"Ministry of Lands, Mines & Water Resources",,24
2006,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,3
2006,Original Budget,Ministry of Youth Development and Sports,,1
2006,Original Budget,Prime Ministers Ministry,,13
2007,Original Budget,Constitutional Agencies,,36
2007,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,16
2007,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,48
2007,Original Budget,Ministry of Education & Training,,67
2007,Original Budget,Ministry of Finance and Economic Management,,125
2007,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,9
2007,Original Budget,Ministry of Health,,101
2007,Original Budget,Ministry of Internal Affairs,,84
2007,Original Budget,Ministry of Justice and Social Welfare,,59
2007,Original Budget,"Ministry of Lands, Mines & Water Resources",,60
2007,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,0
2008,Original Budget,Constitutional Agencies,,17
2008,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,44
2008,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,33
2008,Original Budget,Ministry of Education & Training,,378
2008,Original Budget,Ministry of Finance and Economic Management,,196
2008,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,64
2008,Original Budget,Ministry of Health,,218
2008,Original Budget,Ministry of Internal Affairs,,60
2008,Original Budget,Ministry of Justice and Social Welfare,,70
2008,Original Budget,"Ministry of Lands, Mines & Water Resources",,7
2008,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,15
2008,Original Budget,Ministry of Youth Development and Sports,,1
2008,Original Budget,Prime Ministers Ministry,,111
2009,Original Budget,Constitutional Agencies,,9
2009,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,73
2009,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,57
2009,Original Budget,Ministry of Education & Training,,360
2009,Original Budget,Ministry of Finance and Economic Management,,1075
2009,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,23
2009,Original Budget,Ministry of Health,,219
2009,Original Budget,Ministry of Infrastructure and Public Utilities,,547
2009,Original Budget,Ministry of Internal Affairs,,33
2009,Original Budget,Ministry of Justice and Social Welfare,,48
2009,Original Budget,"Ministry of Lands, Mines & Water Resources",,59
2009,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,1
2009,Original Budget,Ministry of Youth Development and Sports,,4
2009,Original Budget,Prime Ministers Ministry,,20
2010,Original Budget,Constitutional Agencies,,23
2010,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,5
2010,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,274
2010,Original Budget,Ministry of Education & Training,,617
2010,Original Budget,Ministry of Finance and Economic Management,,788
2010,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,11
2010,Original Budget,Ministry of Health,,277
2010,Original Budget,Ministry of Infrastructure and Public Utilities,,576
2010,Original Budget,Ministry of Internal Affairs,,68
2010,Original Budget,Ministry of Justice and Social Welfare,,50
2010,Original Budget,"Ministry of Lands, Mines & Water Resources",,53
2010,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,42
2010,Original Budget,Prime Ministers Ministry,,6
2011,Original Budget,Constitutional Agencies,,26
2011,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,31
2011,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,42
2011,Original Budget,Ministry of Education & Training,,529
2011,Original Budget,Ministry of Finance and Economic Management,,402
2011,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,1
2011,Original Budget,Ministry of Health,,478
2011,Original Budget,Ministry of Infrastructure and Public Utilities,,996
2011,Original Budget,Ministry of Internal Affairs,,122
2011,Original Budget,Ministry of Justice and Social Welfare,,31
2011,Original Budget,"Ministry of Lands, Mines & Water Resources",,19
2011,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,12
2011,Original Budget,Ministry of Youth Development and Sports,,21
2011,Original Budget,Prime Ministers Ministry,,14
2012,Original Budget,Constitutional Agencies,,24
2012,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,29
2012,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,58
2012,Original Budget,Ministry of Education & Training,,627
2012,Original Budget,Ministry of Finance and Economic Management,,190
2012,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,53
2012,Original Budget,Ministry of Health,,238
2012,Original Budget,Ministry of Infrastructure and Public Utilities,,489
2012,Original Budget,Ministry of Internal Affairs,,172
2012,Original Budget,Ministry of Justice and Social Welfare,,27
2012,Original Budget,"Ministry of Lands, Mines & Water Resources",,38
2012,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,32
2012,Original Budget,Ministry of Youth Development and Sports,,7
2012,Original Budget,Prime Ministers Ministry,,21
2013,Original Budget,Constitutional Agencies,,28
2013,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,39
2013,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,253
2013,Original Budget,Ministry of Education & Training,,319
2013,Original Budget,Ministry of Finance and Economic Management,,34
