Year,Province,Island,Class,Value
2018,,,,87531
2018,Malampa,,,13108
2018,Malampa,Ambrym,,2420
2018,Malampa,Ambrym,PreSchool,385
2018,Malampa,Ambrym,1,295
2018,Malampa,Ambrym,2,277
2018,Malampa,Ambrym,3,248
2018,Malampa,Ambrym,4,250
2018,Malampa,Ambrym,5,228
2018,Malampa,Ambrym,6,208
2018,Malampa,Ambrym,7,171
2018,Malampa,Ambrym,8,141
2018,Malampa,Ambrym,9,104
2018,Malampa,Ambrym,10,113
2018,Malampa,Atchin,,193
2018,Malampa,Atchin,PreSchool,41
2018,Malampa,Atchin,1,21
2018,Malampa,Atchin,2,28
2018,Malampa,Atchin,3,39
2018,Malampa,Atchin,4,31
2018,Malampa,Atchin,5,22
2018,Malampa,Atchin,6,11
2018,Malampa,Avock,,72
2018,Malampa,Avock,1,15
2018,Malampa,Avock,2,13
2018,Malampa,Avock,3,11
2018,Malampa,Avock,4,13
2018,Malampa,Avock,5,11
2018,Malampa,Avock,6,9
2018,Malampa,Malekula,,9261
2018,Malampa,Malekula,PreSchool,1650
2018,Malampa,Malekula,1,1181
2018,Malampa,Malekula,2,1147
2018,Malampa,Malekula,3,956
2018,Malampa,Malekula,4,874
2018,Malampa,Malekula,5,798
2018,Malampa,Malekula,6,719
2018,Malampa,Malekula,7,585
2018,Malampa,Malekula,8,423
2018,Malampa,Malekula,9,396
2018,Malampa,Malekula,10,295
2018,Malampa,Malekula,11,111
2018,Malampa,Malekula,12,96
2018,Malampa,Malekula,13,30
2018,Malampa,Maskelyns,,363
2018,Malampa,Maskelyns,PreSchool,63
2018,Malampa,Maskelyns,1,79
2018,Malampa,Maskelyns,2,27
2018,Malampa,Maskelyns,3,28
2018,Malampa,Maskelyns,4,24
2018,Malampa,Maskelyns,5,24
2018,Malampa,Maskelyns,6,32
2018,Malampa,Maskelyns,7,23
2018,Malampa,Maskelyns,8,19
2018,Malampa,Maskelyns,9,20
2018,Malampa,Maskelyns,10,24
2018,Malampa,Paama,,434
2018,Malampa,Paama,PreSchool,80
2018,Malampa,Paama,1,27
2018,Malampa,Paama,2,40
2018,Malampa,Paama,3,63
2018,Malampa,Paama,4,40
2018,Malampa,Paama,5,39
2018,Malampa,Paama,6,35
2018,Malampa,Paama,7,36
2018,Malampa,Paama,8,16
2018,Malampa,Paama,9,41
2018,Malampa,Paama,10,17
2018,Malampa,Uripiv,,96
2018,Malampa,Uripiv,1,20
2018,Malampa,Uripiv,2,18
2018,Malampa,Uripiv,3,13
2018,Malampa,Uripiv,4,16
2018,Malampa,Uripiv,5,20
2018,Malampa,Uripiv,6,9
2018,Malampa,Vao,,269
2018,Malampa,Vao,1,57
2018,Malampa,Vao,2,69
2018,Malampa,Vao,3,44
2018,Malampa,Vao,4,43
2018,Malampa,Vao,5,29
2018,Malampa,Vao,6,27
2018,Penama,,,10564
2018,Penama,Ambae,,3342
2018,Penama,Ambae,PreSchool,566
2018,Penama,Ambae,1,398
2018,Penama,Ambae,2,427
2018,Penama,Ambae,3,346
2018,Penama,Ambae,4,341
2018,Penama,Ambae,5,285
2018,Penama,Ambae,6,253
2018,Penama,Ambae,7,164
2018,Penama,Ambae,8,140
2018,Penama,Ambae,9,131
2018,Penama,Ambae,10,125
2018,Penama,Ambae,11,67
2018,Penama,Ambae,12,58
2018,Penama,Ambae,13,41
2018,Penama,Maewo,,1295
2018,Penama,Maewo,PreSchool,226
2018,Penama,Maewo,1,236
2018,Penama,Maewo,2,158
2018,Penama,Maewo,3,171
2018,Penama,Maewo,4,122
2018,Penama,Maewo,5,88
2018,Penama,Maewo,6,103
