Year,Series,Commodity,Country,Value,
2017,Value (in million vatu),,,4645,
2017,Value (in million vatu),Beef,,178,
2017,Value (in million vatu),Cocoa,,164,
2017,Value (in million vatu),Coconut oil,,814,
2017,Value (in million vatu),Copra,,1811,
2017,Value (in million vatu),Kava,,1277,
2017,Value (in million vatu),Wood ,,401,
2017,Value (in million vatu),Beef,Japan,91,
2017,Value (in million vatu),Beef,Papua New Guinea,50,
2017,Value (in million vatu),Beef,Solomon Islands,38,
2017,Value (in million vatu),Cocoa,Malaysia,141,
2017,Value (in million vatu),Cocoa,Australia,18,
2017,Value (in million vatu),Cocoa,Belgium,2,
2017,Value (in million vatu),Cocoa,United Kingdom,2,
2017,Value (in million vatu),Cocoa,New Zealand,1,
2017,Value (in million vatu),Coconut oil,Malaysia,622,
2017,Value (in million vatu),Coconut oil,Taiwan,124,
2017,Value (in million vatu),Coconut oil,New Zealand,51,
2017,Value (in million vatu),Coconut oil,Australia,12,
2017,Value (in million vatu),Coconut oil,New Caledonia,4,
2017,Value (in million vatu),Copra,Philippines,1715,
2017,Value (in million vatu),Copra,Bangladesh,96,
2017,Value (in million vatu),Kava,Kiribati,383,
2017,Value (in million vatu),Kava,Fiji,307,
2017,Value (in million vatu),Kava,United States of America,291,
2017,Value (in million vatu),Kava,New Caledonia,236,
2017,Value (in million vatu),Kava,China,31,
2017,Value (in million vatu),Wood,China,302,
2017,Value (in million vatu),Wood,Hong Kong,72,
2017,Value (in million vatu),Wood,Australia,23,
2017,Value (in million vatu),Wood,New Caledonia,3,
2018,Value (in million vatu),,,3774,
2018,Value (in million vatu),Beef,,66,
2018,Value (in million vatu),Cocoa,,193,
2018,Value (in million vatu),Coconut oil,,402,
2018,Value (in million vatu),Copra,,424,
2018,Value (in million vatu),Kava,,2514,
2018,Value (in million vatu),Wood,,175,
2018,Value (in million vatu),Beef,Japan,41,
2018,Value (in million vatu),Beef,Solomon Islands,9,
2018,Value (in million vatu),Beef,Papua New Guinea,8,
2018,Value (in million vatu),Beef,Australia,8,
2018,Value (in million vatu),Cocoa,Malaysia,153,
2018,Value (in million vatu),Cocoa,Indonesia,15,
2018,Value (in million vatu),Cocoa,Italy,12,
2018,Value (in million vatu),Cocoa,Australia,6,
2018,Value (in million vatu),Cocoa,New Zealand,3,
2018,Value (in million vatu),Coconut oil,Malaysia,372,
2018,Value (in million vatu),Coconut oil,New Zealand,17,
2018,Value (in million vatu),Coconut oil,Australia,11,
2018,Value (in million vatu),Coconut oil,New Caledonia,1,
2018,Value (in million vatu),Copra,Philippines,239,
2018,Value (in million vatu),Copra,Bangladesh,185,
2018,Value (in million vatu),Kava,United States of America,768,
2018,Value (in million vatu),Kava,Fiji,616,
2018,Value (in million vatu),Kava,Kiribati,583,
2018,Value (in million vatu),Kava,New Caledonia,396,
2018,Value (in million vatu),Kava,China,129,
2018,Value (in million vatu),Wood,Hong Kong,73,
2018,Value (in million vatu),Wood,China,69,
2018,Value (in million vatu),Wood,Vietnam,27,
2018,Value (in million vatu),Wood,New Caledonia,6,
2019,Value (in million vatu),,,3986,
2019,Value (in million vatu),Beef,,96,
2019,Value (in million vatu),Cocoa,,270,
2019,Value (in million vatu),Coconut oil,,284,
2019,Value (in million vatu),Copra,,265,
2019,Value (in million vatu),Kava,,2972,
2019,Value (in million vatu),Wood,,100,
2019,Value (in million vatu),Beef,Australia,47,
2019,Value (in million vatu),Beef,Japan,40,
2019,Value (in million vatu),Beef,Solomon Islands,9,
2019,Value (in million vatu),Cocoa,Malaysia,246,
2019,Value (in million vatu),Cocoa,Indonesia,7,
2019,Value (in million vatu),Cocoa,Australia,6,
2019,Value (in million vatu),Cocoa,New Zealand,4,
2019,Value (in million vatu),Cocoa,United Kingdom,3,
2019,Value (in million vatu),Coconut oil,Malaysia,121,
2019,Value (in million vatu),Coconut oil,Bangladesh,115,
2019,Value (in million vatu),Coconut oil,India,28,
2019,Value (in million vatu),Coconut oil,Singapore,10,
2019,Value (in million vatu),Coconut oil,New Zealand,5,
2019,Value (in million vatu),Copra,Philippines,244,
2019,Value (in million vatu),Copra,Bangladesh,21,
2019,Value (in million vatu),Kava,Fiji,963,
2019,Value (in million vatu),Kava,Kiribati,694,
2019,Value (in million vatu),Kava,New Caledonia,471,
2019,Value (in million vatu),Kava,United States of America,401,
2019,Value (in million vatu),Kava,China,165,
2019,Value (in million vatu),Wood,China,73,
2019,Value (in million vatu),Wood,Vietnam,14,
2019,Value (in million vatu),Wood,New Caledonia,6,
2019,Value (in million vatu),Wood,Australia,5,
2020,Value (in million vatu),,,3372,
2020,Value (in million vatu),Beef,,85,
2020,Value (in million vatu),Cocoa,,175,
2020,Value (in million vatu),Coconut oil,,166,
2020,Value (in million vatu),Copra,,336,
2020,Value (in million vatu),Kava,,2601,
2020,Value (in million vatu),Wood,,9,
2020,Value (in million vatu),Beef,Japan,47,
2020,Value (in million vatu),Beef,Australia,22,
2020,Value (in million vatu),Beef,Solomon Islands,16,
2020,Value (in million vatu),Cocoa,Malaysia,150,
2020,Value (in million vatu),Cocoa,Indonesia,19,
2020,Value (in million vatu),Cocoa,Italy,3,
2020,Value (in million vatu),Cocoa,New Zealand,3,
2020,Value (in million vatu),Cocoa,Australia,1,
2020,Value (in million vatu),Coconut oil,Sri Lanka,95,
2020,Value (in million vatu),Coconut oil,Malaysia,48,
2020,Value (in million vatu),Coconut oil,Australia,14,
2020,Value (in million vatu),Coconut oil,Netherlands,6,
2020,Value (in million vatu),Coconut oil,Singapore,3,
2020,Value (in million vatu),Copra,Philippines,290,
2020,Value (in million vatu),Copra,Bangladesh,46,
2020,Value (in million vatu),Kava,Fiji,787,
2020,Value (in million vatu),Kava,New Caledonia,531,
2020,Value (in million vatu),Kava,Kiribati,475,
2020,Value (in million vatu),Kava,United States of America,473,
2020,Value (in million vatu),Kava,China,227,
2020,Value (in million vatu),Wood,New Caledonia,6,
2020,Value (in million vatu),Wood,China,1,
2020,Value (in million vatu),Wood,Australia,1,
2021,Value (in million vatu),,,4652,
2021,Value (in million vatu),Beef,,159,
2021,Value (in million vatu),Cocoa,,393,
2021,Value (in million vatu),Coconut oil,,149,
2021,Value (in million vatu),Copra,,845,
