Year,Calculation Method,Sector,Industry,Value
2005,GDP by Production,,,"44,819"
2005,,"Agriculture, Fishing and Forestry",,10054
2005,,Industry,,3149
2005,,Services,,28281
2005,,Plus Taxes less Subsidies on Products ,,5271
2005,,Less imputed Bank Service Charge,,1986
2005,,"Agriculture, Fishing and Forestry",Crop Production,"7,901"
2005,,"Agriculture, Fishing and Forestry",Animal Prodcution,"1,011"
2005,,"Agriculture, Fishing and Forestry",Forestry,755
2005,,"Agriculture, Fishing and Forestry",Fishing,387
2005,,Industry,Mining and Quarrying,
2005,,Industry,Manufacturing,"1,304"
2005,,Industry,Electricity and Water Supply,893
2005,,Industry,Construction,952
2005,,Services,"Wholesale, Retail Trade, repair of Motorvehicles",706
2005,,Services,Other Wholesale Trade,"1,883"
2005,,Services,Retail Trade,"3,696"
2005,,Services,Transport,"3,022"
2005,,Services,Accomodation and Food Services,"1,916"
2005,,Services,Information and Communication,"1,710"
2005,,Services,Finance and Insurance ,"3,936"
2005,,Services,Real Estate,"3,526"
2005,,Services,"Professional, Scientifc, Technical, Adm/Services","1,234"
2005,,Services,Government Services,"5,723"
2005,,Services,"Education, Health, Recreation, and Other Services",929
2006,GDP by Production,,,"48,611"
2006,,"Agriculture, Fishing and Forestry",,"10,201"
2006,,Industry,,"3,935"
2006,,Services,,"30,846"
2006,,Plus Taxes less Subsidies on Products ,,"5,742"
2006,,Less imputed Bank Service Charge,,"2,113"
2006,,"Agriculture, Fishing and Forestry",Crop Production,"8,180"
2006,,"Agriculture, Fishing and Forestry",Animal Prodcution,"1,073"
2006,,"Agriculture, Fishing and Forestry",Forestry,548
2006,,"Agriculture, Fishing and Forestry",Fishing,399
2006,,Industry,Mining and Quarrying,10
2006,,Industry,Manufacturing,"1,756"
2006,,Industry,Electricity and Water Supply,917
2006,,Industry,Construction,"1,252"
2006,,Services,"Wholesale, Retail Trade, repair of Motorvehicles",735
2006,,Services,Other Wholesale Trade,"2,056"
2006,,Services,Retail Trade,"5,095"
2006,,Services,Transport,"3,009"
2006,,Services,Accomodation and Food Services,"1,986"
2006,,Services,Information and Communication,"1,760"
2006,,Services,Finance and Insurance ,"4,214"
2006,,Services,Real Estate,"3,611"
2006,,Services,"Professional, Scientifc, Technical, Adm/Services","1,306"
2006,,Services,Government Services,"5,776"
2006,,Services,"Education, Health, Recreation, and Other Services","1,300"
2007,GDP by Production,,,"50,009"
2007,,"Agriculture, Fishing and Forestry",,"10,558"
2007,,Industry,,"3,537"
2007,,Services,,"31,090"
2007,,Plus Taxes less Subsidies on Products ,,"7,070"
2007,,Less imputed Bank Service Charge,,"2,245"
2007,,"Agriculture, Fishing and Forestry",Crop Production,"8,432"
2007,,"Agriculture, Fishing and Forestry",Animal Prodcution,"1,129"
2007,,"Agriculture, Fishing and Forestry",Forestry,584
2007,,"Agriculture, Fishing and Forestry",Fishing,413
2007,,Industry,Mining and Quarrying,125
2007,,Industry,Manufacturing,"1,092"
2007,,Industry,Electricity and Water Supply,978
2007,,Industry,Construction,"1,341"
2007,,Services,"Wholesale, Retail Trade, repair of Motorvehicles",734
2007,,Services,Other Wholesale Trade,"2,016"
2007,,Services,Retail Trade,"5,303"
2007,,Services,Transport,"2,264"
2007,,Services,Accomodation and Food Services,"2,195"
2007,,Services,Information and Communication,"2,150"
2007,,Services,Finance and Insurance ,"4,128"
2007,,Services,Real Estate,"3,700"
2007,,Services,"Professional, Scientifc, Technical, Adm/Services","1,383"
2007,,Services,Government Services,"6,054"
