Year,Series,Commodity,Country,Value
2021,Value (in million vatu),,,9704
2021,Value (in million vatu),Alcoholic drinks,,576
2021,Value (in million vatu),Iron or steel,,1253
2021,Value (in million vatu),Medicaments,,495
2021,Value (in million vatu),Petroleum oils,,6495
2021,Value (in million vatu),Rice,,885
2021,Value (in million vatu),Alcoholic drinks,China,291
2021,Value (in million vatu),Alcoholic drinks,France,173
2021,Value (in million vatu),Alcoholic drinks,Singapore,60
2021,Value (in million vatu),Alcoholic drinks,Solomon Islands,42
2021,Value (in million vatu),Alcoholic drinks,United Kingdom,11
2021,Value (in million vatu),Iron or steel,China,381
2021,Value (in million vatu),Iron or steel,Australia,658
2021,Value (in million vatu),Iron or steel,Japan,0
2021,Value (in million vatu),Iron or steel,New Zealand,144
2021,Value (in million vatu),Iron or steel,Fiji,69
2021,Value (in million vatu),Medicaments,Australia,152
2021,Value (in million vatu),Medicaments,New Zealand,170
2021,Value (in million vatu),Medicaments,India,116
2021,Value (in million vatu),Medicaments,United States of America,37
2021,Value (in million vatu),Medicaments,Fiji,19
2021,Value (in million vatu),Petroleum oils,Singapore,6210
2021,Value (in million vatu),Petroleum oils,Australia,94
2021,Value (in million vatu),Petroleum oils,New Zealand,61
2021,Value (in million vatu),Petroleum oils,United Arab Emirates,87
2021,Value (in million vatu),Petroleum oils,Malaysia,44
2021,Value (in million vatu),Rice,China,406
2021,Value (in million vatu),Rice,Taiwan,288
2021,Value (in million vatu),Rice,Vietnam,142
2021,Value (in million vatu),Rice,Fiji,28
2021,Value (in million vatu),Rice,Thailand,21
2022,Value (in million vatu),,,9820
2022,Value (in million vatu),Alcoholic drinks,,396
2022,Value (in million vatu),Iron or steel,,862
2022,Value (in million vatu),Medicaments,,403
2022,Value (in million vatu),Petroleum oils,,7509
2022,Value (in million vatu),Rice,,650
2022,Value (in million vatu),Alcoholic drinks,China,202
2022,Value (in million vatu),Alcoholic drinks,France,112
2022,Value (in million vatu),Alcoholic drinks,Singapore,48
2022,Value (in million vatu),Alcoholic drinks,Solomon Islands,28
2022,Value (in million vatu),Alcoholic drinks,United Kingdom,6
2022,Value (in million vatu),Iron or steel,China,296
2022,Value (in million vatu),Iron or steel,Australia,494
2022,Value (in million vatu),Iron or steel,Japan,0
2022,Value (in million vatu),Iron or steel,New Zealand,28
2022,Value (in million vatu),Iron or steel,Fiji,43
2022,Value (in million vatu),Medicaments,Australia,104
2022,Value (in million vatu),Medicaments,New Zealand,114
2022,Value (in million vatu),Medicaments,India,129
2022,Value (in million vatu),Medicaments,United States of America,37
2022,Value (in million vatu),Medicaments,Fiji,19
2022,Value (in million vatu),Petroleum oils,Singapore,7320
2022,Value (in million vatu),Petroleum oils,Australia,48
2022,Value (in million vatu),Petroleum oils,New Zealand,66
2022,Value (in million vatu),Petroleum oils,United Arab Emirates,35
2022,Value (in million vatu),Petroleum oils,Malaysia,39
2022,Value (in million vatu),Rice,China,319
2022,Value (in million vatu),Rice,Taiwan,269
2022,Value (in million vatu),Rice,Vietnam,42
2022,Value (in million vatu),Rice,Fiji,15
2022,Value (in million vatu),Rice,Thailand,5
2023,Value (in million vatu),,,17110
2023,Value (in million vatu),Alcoholic drinks,,1319
2023,Value (in million vatu),Iron or steel,,1236
2023,Value (in million vatu),Medicaments,,507
2023,Value (in million vatu),Petroleum oils,,12679
2023,Value (in million vatu),Rice,,1369
2023,Value (in million vatu),Alcoholic drinks,China,648
2023,Value (in million vatu),Alcoholic drinks,France,393
2023,Value (in million vatu),Alcoholic drinks,Singapore,128
2023,Value (in million vatu),Alcoholic drinks,Solomon Islands,63
2023,Value (in million vatu),Alcoholic drinks,United Kingdom,86
2023,Value (in million vatu),Iron or steel,China,733
2023,Value (in million vatu),Iron or steel,Australia,294
2023,Value (in million vatu),Iron or steel,Japan,59
2023,Value (in million vatu),Iron or steel,New Zealand,69
2023,Value (in million vatu),Iron or steel,Fiji,81
2023,Value (in million vatu),Medicaments,Australia,134
2023,Value (in million vatu),Medicaments,New Zealand,130
2023,Value (in million vatu),Medicaments,India,118
2023,Value (in million vatu),Medicaments,United States of America,40
2023,Value (in million vatu),Medicaments,Fiji,84
2023,Value (in million vatu),Petroleum oils,Singapore,12344
2023,Value (in million vatu),Petroleum oils,Australia,134
2023,Value (in million vatu),Petroleum oils,New Zealand,105
2023,Value (in million vatu),Petroleum oils,United Arab Emirates,50
2023,Value (in million vatu),Petroleum oils,Malaysia,45
2023,Value (in million vatu),Rice,China,675
2023,Value (in million vatu),Rice,Taiwan,292
2023,Value (in million vatu),Rice,Vietnam,353
2023,Value (in million vatu),Rice,Fiji,30
2023,Value (in million vatu),Rice,Thailand,19
2024,Value (in million vatu),,,11498
2024,Value (in million vatu),Alcoholic drinks,,898
2024,Value (in million vatu),Iron or steel,,1464
2024,Value (in million vatu),Medicaments,,489
2024,Value (in million vatu),Petroleum oils,,7294
2024,Value (in million vatu),Rice,,1353
2024,Value (in million vatu),Alcoholic drinks,China,439
2024,Value (in million vatu),Alcoholic drinks,France,252
2024,Value (in million vatu),Alcoholic drinks,Singapore,92
2024,Value (in million vatu),Alcoholic drinks,Solomon Islands,54
2024,Value (in million vatu),Alcoholic drinks,United Kingdom,60
2024,Value (in million vatu),Iron or steel,China,818
2024,Value (in million vatu),Iron or steel,Australia,242
2024,Value (in million vatu),Iron or steel,Japan,302
2024,Value (in million vatu),Iron or steel,New Zealand,62
2024,Value (in million vatu),Iron or steel,Fiji,41
2024,Value (in million vatu),Medicaments,Australia,216
2024,Value (in million vatu),Medicaments,New Zealand,116
2024,Value (in million vatu),Medicaments,India,103
2024,Value (in million vatu),Medicaments,United States of America,36
2024,Value (in million vatu),Medicaments,Fiji,17
2024,Value (in million vatu),Petroleum oils,Singapore,6908
2024,Value (in million vatu),Petroleum oils,Australia,108
2024,Value (in million vatu),Petroleum oils,New Zealand,145
2024,Value (in million vatu),Petroleum oils,United Arab Emirates,84
2024,Value (in million vatu),Petroleum oils,Malaysia,48
2024,Value (in million vatu),Rice,China,131
2024,Value (in million vatu),Rice,Taiwan,519
2024,Value (in million vatu),Rice,Vietnam,648
2024,Value (in million vatu),Rice,Fiji,20
2024,Value (in million vatu),Rice,Thailand,34
2021,Quantity (in tonnes kilogram),,,120981
2021,Quantity (in tonnes kilogram),Alcoholic drinks,,2698
2021,Quantity (in tonnes kilogram),Iron or steel,,5202
2021,Quantity (in tonnes kilogram),Medicaments,,184
2021,Quantity (in tonnes kilogram),Petroleum oils,,97025
2021,Quantity (in tonnes kilogram),Rice,,15872
2021,Quantity (in tonnes kilogram),Alcoholic drinks,China,1612
2021,Quantity (in tonnes kilogram),Alcoholic drinks,France,664
2021,Quantity (in tonnes kilogram),Alcoholic drinks,Singapore,233
2021,Quantity (in tonnes kilogram),Alcoholic drinks,Solomon Islands,177
2021,Quantity (in tonnes kilogram),Alcoholic drinks,United Kingdom,12
2021,Quantity (in tonnes kilogram),Iron or steel,China,2707
2021,Quantity (in tonnes kilogram),Iron or steel,Australia,1635
2021,Quantity (in tonnes kilogram),Iron or steel,Japan,0
2021,Quantity (in tonnes kilogram),Iron or steel,New Zealand,556
2021,Quantity (in tonnes kilogram),Iron or steel,Fiji,303
2021,Quantity (in tonnes kilogram),Medicaments,Australia,142
2021,Quantity (in tonnes kilogram),Medicaments,New Zealand,9
2021,Quantity (in tonnes kilogram),Medicaments,India,17
2021,Quantity (in tonnes kilogram),Medicaments,United States of America,7
2021,Quantity (in tonnes kilogram),Medicaments,Fiji,9
2021,Quantity (in tonnes kilogram),Petroleum oils,Singapore,95312
2021,Quantity (in tonnes kilogram),Petroleum oils,Australia,546
2021,Quantity (in tonnes kilogram),Petroleum oils,New Zealand,718
2021,Quantity (in tonnes kilogram),Petroleum oils,United Arab Emirates,280
2021,Quantity (in tonnes kilogram),Petroleum oils,Malaysia,169
2021,Quantity (in tonnes kilogram),Rice,China,6227
2021,Quantity (in tonnes kilogram),Rice,Taiwan,5163
2021,Quantity (in tonnes kilogram),Rice,Vietnam,3994
2021,Quantity (in tonnes kilogram),Rice,Fiji,296
2021,Quantity (in tonnes kilogram),Rice,Thailand,192
2022,Quantity (in tonnes kilogram),,,68917
2022,Quantity (in tonnes kilogram),Alcoholic drinks,,1580
2022,Quantity (in tonnes kilogram),Iron or steel,,2303
2022,Quantity (in tonnes kilogram),Medicaments,,129
2022,Quantity (in tonnes kilogram),Petroleum oils,,56373
2022,Quantity (in tonnes kilogram),Rice,,8532
2022,Quantity (in tonnes kilogram),Alcoholic drinks,China,863
2022,Quantity (in tonnes kilogram),Alcoholic drinks,France,422
