Year,Revenue Source,Value,,,
2010,,16707.7,,,
2011,,"15,804.4",,,
2012,,"15,788.6",,,
2013,,"16,245.8",,,
2014,,"18,351.6",,,
2015,,"25,720.9",,,
2016,,"21,664.4",,,
2017,,"29,719.2",,,
2018,,"38,884.0",,,
2019,,"40,274.3",,,
2020,,"42,143.6",,,
2010,Taxes on Property,485.4,,,
2011,Taxes on Property,430.6,,,
2012,Taxes on Property,548.3,,,
2013,Taxes on Property,360.4,,,
2014,Taxes on Property,429.6,,,
2015,Taxes on Property,401.5,,,
2016,Taxes on Property,383.2,,,
2017,Taxes on Property,488.2,,,
2018,Taxes on Property,565.9,,,
2019,Taxes on Property,648.1,,,
2020,Taxes on Property,602.1,,,
2010,Value Added,"4,301.1",,,
2011,Value Added,"4,711.3",,,
2012,Value Added,"5,006.3",,,
2013,Value Added,"5,449.4",,,
2014,Value Added,"5,794.3",,,
2015,Value Added,"5,768.6",,,
2016,Value Added,"5,548.8",,,
2017,Value Added,"6,912.5",,,
2018,Value Added,"8,224.2",,,
2019,Value Added,"8,732.1",,,
2020,Value Added,"7,568.4",,,
2010,Excise,"1,882.3",,,
2011,Excise,"1,935.7",,,
2012,Excise,"1,875.7",,,
2013,Excise,"1,898.2",,,
2014,Excise,"1,975.7",,,
2015,Excise,"2,180.2",,,
2016,Excise,"2,219.5",,,
2017,Excise,"2,577.8",,,
2018,Excise,"2,784.1",,,
2019,Excise,"2,829.4",,,
2020,Excise,"2,593.0",,,
2010,Other,"1,774.0",,,
2011,Other,"1,681.2",,,
2012,Other,"1,989.1",,,
2013,Other,"2,703.2",,,
2014,Other,"2,879.9",,,
2015,Other,"2,177.0",,,
2016,Other,"2,232.9",,,
2017,Other,"2,736.8",,,
2018,Other,"2,712.5",,,
2019,Other,"3,004.2",,,
2020,Other,"2,071.4",,,
2010,Taxes on Inter.trade & transaction,"2,646.0",,,
2011,Taxes on Inter.trade & transaction,"2,871.4",,,
2012,Taxes on Inter.trade & transaction,"2,580.2",,,
2013,Taxes on Inter.trade & transaction,"2,637.7",,,
2014,Taxes on Inter.trade & transaction,"2,657.1",,,
2015,Taxes on Inter.trade & transaction,"2,949.5",,,
2016,Taxes on Inter.trade & transaction,"2,939.7",,,
2017,Taxes on Inter.trade & transaction,"3,534.1",,,
2018,Taxes on Inter.trade & transaction,"3,694.0",,,
2019,Taxes on Inter.trade & transaction,"3,623.2",,,
2020,Taxes on Inter.trade & transaction,"3,133.1",,,
