Year,Series,Value
2016,Debt Ratio to GDP (%),51
2017,Debt Ratio to GDP (%),59
2018,Debt Ratio to GDP (%),63
2019,Debt Ratio to GDP (%),66
2020,Debt Ratio to GDP (%),72
2021,Debt Ratio to GDP (%),73
2022,Debt Ratio to GDP (%),40
2023,Debt Ratio to GDP (%),39
2024,Debt Ratio to GDP (%),38
2016,Debt (million vatu),32288
2017,Debt (million vatu),39486
2018,Debt (million vatu),42762
2019,Debt (million vatu),46458
2020,Debt (million vatu),48274
2021,Debt (million vatu),47968
2022,Debt (million vatu),53046
2023,Debt (million vatu),55447
2024,Debt (million vatu),59063
2022,GDP Current (million vatu),132872
2023,GDP Current (million vatu),141522
2024,GDP Current (million vatu),154671
