,Year,Procedure,total
1,2000,1000,2398026870
2,2001,1000,2287721109
3,2002,1000,2100631981
4,2003,1000,2947751704
5,2004,1000,4131668537
6,2005,1000,3645364957
7,2006,1000,3525538045
8,2007,1000,3716540195
9,2008,1000,4732094000
10,2009,1000,2901020363
11,2010,1000,3925019447
12,2011,1000,5850159410
13,2012,1000,3697449691
14,2013,1000,3067327840
15,2014,1000,5691753456
16,2015,1000,4249038467
17,2016,1000,4870489762
18,2017,1000,5868855618
19,2018,1000,4740705920
20,2019,1000,5222000000
21,2020,1000,4650000000
