Year,Series,Province,Island,Language,SchoolName,Year Level,Gender,Achievement Level,Value
2021,English Literacy - Year 4,Torba,Vanua Lava,ENG,BaldwinLonsdaleMemorial(BLMS),4,Male,critically below minimum standard,4
2021,English Literacy - Year 4,Torba,Vanua Lava,ENG,BaldwinLonsdaleMemorial(BLMS),4,Female,critically below minimum standard,2
2021,English Literacy - Year 4,Torba,Vanua Lava,ENG,BaldwinLonsdaleMemorial(BLMS),4,Male,approaching minimum standard,11
2021,English Literacy - Year 4,Torba,Vanua Lava,ENG,BaldwinLonsdaleMemorial(BLMS),4,Female,approaching minimum standard,6
2021,English Literacy - Year 4,Torba,Vanua Lava,ENG,BaldwinLonsdaleMemorial(BLMS),4,Male,meeting minimum standard,6
2021,English Literacy - Year 4,Torba,Vanua Lava,ENG,BaldwinLonsdaleMemorial(BLMS),4,Female,meeting minimum standard,6
2021,English Literacy - Year 4,Torba,Vanua Lava,ENG,BaldwinLonsdaleMemorial(BLMS),4,Male,exceeding minimum standard,2
2021,English Literacy - Year 4,Torba,Vanua Lava,ENG,BaldwinLonsdaleMemorial(BLMS),4,Female,exceeding minimum standard,4
2021,English Literacy - Year 6,Torba,Vanua Lava,ENG,BaldwinLonsdaleMemorial(BLMS),6,Male,critically below minimum standard,4
2021,English Literacy - Year 6,Torba,Vanua Lava,ENG,BaldwinLonsdaleMemorial(BLMS),6,Female,critically below minimum standard,1
2021,English Literacy - Year 6,Torba,Vanua Lava,ENG,BaldwinLonsdaleMemorial(BLMS),6,Male,approaching minimum standard,9
2021,English Literacy - Year 6,Torba,Vanua Lava,ENG,BaldwinLonsdaleMemorial(BLMS),6,Female,approaching minimum standard,6
2021,English Literacy - Year 6,Torba,Vanua Lava,ENG,BaldwinLonsdaleMemorial(BLMS),6,Male,meeting minimum standard,5
2021,English Literacy - Year 6,Torba,Vanua Lava,ENG,BaldwinLonsdaleMemorial(BLMS),6,Female,meeting minimum standard,10
2021,English Literacy - Year 6,Torba,Vanua Lava,ENG,BaldwinLonsdaleMemorial(BLMS),6,Male,exceeding minimum standard,3
2021,English Literacy - Year 6,Torba,Vanua Lava,ENG,BaldwinLonsdaleMemorial(BLMS),6,Female,exceeding minimum standard,10
2021,Numeracy - Year 4,Torba,Vanua Lava,ENG,BaldwinLonsdaleMemorial(BLMS),4,Male,critically below minimum standard,2
2021,Numeracy - Year 4,Torba,Vanua Lava,ENG,BaldwinLonsdaleMemorial(BLMS),4,Female,critically below minimum standard,1
2021,Numeracy - Year 4,Torba,Vanua Lava,ENG,BaldwinLonsdaleMemorial(BLMS),4,Male,approaching minimum standard,5
2021,Numeracy - Year 4,Torba,Vanua Lava,ENG,BaldwinLonsdaleMemorial(BLMS),4,Female,approaching minimum standard,2
2021,Numeracy - Year 4,Torba,Vanua Lava,ENG,BaldwinLonsdaleMemorial(BLMS),4,Male,meeting minimum standard,12
2021,Numeracy - Year 4,Torba,Vanua Lava,ENG,BaldwinLonsdaleMemorial(BLMS),4,Female,meeting minimum standard,7
2021,Numeracy - Year 4,Torba,Vanua Lava,ENG,BaldwinLonsdaleMemorial(BLMS),4,Male,exceeding minimum standard,10
