Year,Budget Series,Ministry,Department,Activity,Units,Value
2010,Actual,,,,Value in Millions (VT),7609.530052
2010,Budget,,,,Value in Millions (VT),7992.826863
2011,Actual,,,,Value in Millions (VT),7360.424868
2011,Budget,,,,Value in Millions (VT),7486.628512
2012,Actual,,,,Value in Millions (VT),7720.514819
2012,Budget,,,,Value in Millions (VT),8369.91351
2013,Actual,,,,Value in Millions (VT),8120.172168
2013,Budget,,,,Value in Millions (VT),8586.516693
2014,Actual,,,,Value in Millions (VT),8644.573532
2014,Budget,,,,Value in Millions (VT),8783.203896
2015,Actual,,,,Value in Millions (VT),9592.609936
2015,Budget,,,,Value in Millions (VT),9570.554301
2016,Actual,,,,Value in Millions (VT),12367.55022
2016,Budget,,,,Value in Millions (VT),10463.46514
2017,Actual,,,,Value in Millions (VT),13419.34703
2017,Budget,,,,Value in Millions (VT),10778.17751
2018,Actual,,,,Value in Millions (VT),17506.58993
2018,Budget,,,,Value in Millions (VT),12663.34637
2019,Actual,,,,Value in Millions (VT),18902.82011
2019,Budget,,,,Value in Millions (VT),13812.00646
2020,Actual,,,,Value in Millions (VT),25000.65452
2020,Budget,,,,Value in Millions (VT),31936.96046
2021,Actual,,,,Value in Millions (VT),12079.83017
2021,Budget,,,,Value in Millions (VT),22127.09512
2010,Actual,Constitutional Agencies,,,Value in Millions (VT),610.338543
2010,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,,Value in Millions (VT),178.279929
2010,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,,Value in Millions (VT),77.189981
2010,Actual,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,,Value in Millions (VT),9.632695
2010,Actual,Ministry of Education & Training,,,Value in Millions (VT),715.542892
2010,Actual,Ministry of Finance and Economic Management,,,Value in Millions (VT),3128.064413
2010,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",,,Value in Millions (VT),145.611034
2010,Actual,Ministry of Health,,,Value in Millions (VT),736.1732
2010,Actual,Ministry of Infrastructure and Public Utilities,,,Value in Millions (VT),875.392807
2010,Actual,Ministry of Internal Affairs,,,Value in Millions (VT),579.946911
2010,Actual,Ministry of Justice and Social Welfare,,,Value in Millions (VT),86.233625
2010,Actual,"Ministry of Lands, Mines & Water Resources",,,Value in Millions (VT),106.044517
2010,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,,Value in Millions (VT),189.709935
2010,Actual,Ministry of Youth Development and Sports,,,Value in Millions (VT),91.265318
2010,Actual,Prime Ministers Ministry,,,Value in Millions (VT),80.104252
2010,Budget,Constitutional Agencies,,,Value in Millions (VT),602.889241
2010,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,,Value in Millions (VT),164.821983
2010,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,,Value in Millions (VT),75.093928
2010,Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,,Value in Millions (VT),9.74137
2010,Budget,Ministry of Education & Training,,,Value in Millions (VT),752.997289
2010,Budget,Ministry of Finance and Economic Management,,,Value in Millions (VT),3583.148402
2010,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,,Value in Millions (VT),138.093474
2010,Budget,Ministry of Health,,,Value in Millions (VT),750.51444
