Year,Series,Major Industry,Unit of Measure,Value
2015,Total value,,Vatu in millions (VUV),      273742 
2015,Total value,Accommodation and food service activities,Vatu in millions (VUV),          6530 
2015,Total value,Administrative and support service activities,Vatu in millions (VUV),          3824 
2015,Total value,Agriculture forestry and fishing,Vatu in millions (VUV),          1438 
2015,Total value,Arts entertainment and recreation,Vatu in millions (VUV),             418 
2015,Total value,Construction,Vatu in millions (VUV),          4035 
2015,Total value,Education,Vatu in millions (VUV),               17 
2015,Total value,Electricity gas steam and air conditioning supply,Vatu in millions (VUV),          3247 
2015,Total value,Financial and insurance activities,Vatu in millions (VUV),          1899 
2015,Total value,Human health and social work activities,Vatu in millions (VUV),               95 
2015,Total value,Information and communication,Vatu in millions (VUV),          5153 
2015,Total value,Manufacturing,Vatu in millions (VUV),          4842 
2015,Total value,Mining and quarrying,Vatu in millions (VUV),             631 
2015,Total value,Other service activities,Vatu in millions (VUV),               41 
2015,Total value,Professional scientific and technical activities,Vatu in millions (VUV),          1516 
2015,Total value,Public administration and defence; compulsory social security,Vatu in millions (VUV),        15866 
2015,Total value,Real estate activities,Vatu in millions (VUV),             883 
2015,Total value,Transportation and storage,Vatu in millions (VUV),          5699 
2015,Total value,Water supply; sewerage waste management and remediation activities,Vatu in millions (VUV),             117 
2015,Total value,Wholesale and retail trade; repair of motor vehicles and motorcycles,Vatu in millions (VUV),        49418 
2015,Total value,Not available,Vatu in millions (VUV),      168073 
2015,Proportion,Accommodation and food service activities,Percentage of industry (%),                 2 
2015,Proportion,Administrative and support service activities,Percentage of industry (%),                 1 
2015,Proportion,Agriculture forestry and fishing,Percentage of industry (%),                 1 
2015,Proportion,Arts entertainment and recreation,Percentage of industry (%),                 0 
2015,Proportion,Construction,Percentage of industry (%),                 1 
2015,Proportion,Education,Percentage of industry (%),                 0 
2015,Proportion,Electricity gas steam and air conditioning supply,Percentage of industry (%),                 1 
2015,Proportion,Financial and insurance activities,Percentage of industry (%),                 1 
2015,Proportion,Human health and social work activities,Percentage of industry (%),                 0 
2015,Proportion,Information and communication,Percentage of industry (%),                 2 
2015,Proportion,Manufacturing,Percentage of industry (%),                 2 
2015,Proportion,Mining and quarrying,Percentage of industry (%),                 0 
2015,Proportion,Other service activities,Percentage of industry (%),                 0 
2015,Proportion,Professional scientific and technical activities,Percentage of industry (%),                 1 
2015,Proportion,Public administration and defence; compulsory social security,Percentage of industry (%),                 6 
2015,Proportion,Real estate activities,Percentage of industry (%),                 0 
2015,Proportion,Transportation and storage,Percentage of industry (%),                 2 
2015,Proportion,Water supply; sewerage waste management and remediation activities,Percentage of industry (%),                 0 
2015,Proportion,Wholesale and retail trade; repair of motor vehicles and motorcycles,Percentage of industry (%),               18 
2015,Proportion,Not available,Percentage of industry (%),               61 
2016,Total value,,Vatu in millions (VUV),      298566 
2016,Total value,Accommodation and food service activities,Vatu in millions (VUV),          6243 
2016,Total value,Administrative and support service activities,Vatu in millions (VUV),          5590 
2016,Total value,Agriculture forestry and fishing,Vatu in millions (VUV),          1314 
2016,Total value,Arts entertainment and recreation,Vatu in millions (VUV),             354 
2016,Total value,Construction,Vatu in millions (VUV),          4925 
2016,Total value,Education,Vatu in millions (VUV),               14 
2016,Total value,Electricity gas steam and air conditioning supply,Vatu in millions (VUV),          3483 
2016,Total value,Financial and insurance activities,Vatu in millions (VUV),          1915 
2016,Total value,Human health and social work activities,Vatu in millions (VUV),             134 
2016,Total value,Information and communication,Vatu in millions (VUV),          5309 
2016,Total value,Manufacturing,Vatu in millions (VUV),          4841 
2016,Total value,Mining and quarrying,Vatu in millions (VUV),             642 
2016,Total value,Other service activities,Vatu in millions (VUV),               36 
2016,Total value,Professional scientific and technical activities,Vatu in millions (VUV),          1437 
2016,Total value,Public administration and defence; compulsory social security,Vatu in millions (VUV),        18541 
2016,Total value,Real estate activities,Vatu in millions (VUV),             842 
2016,Total value,Transportation and storage,Vatu in millions (VUV),          7094 
2016,Total value,Water supply; sewerage waste management and remediation activities,Vatu in millions (VUV),             102 
2016,Total value,Wholesale and retail trade; repair of motor vehicles and motorcycles,Vatu in millions (VUV),        46968 
2016,Total value,Not available,Vatu in millions (VUV),      188780 
2016,Proportion,Accommodation and food service activities,Percentage of industry (%),                 2 
2016,Proportion,Administrative and support service activities,Percentage of industry (%),                 2 
2016,Proportion,Agriculture forestry and fishing,Percentage of industry (%),                 0 
2016,Proportion,Arts entertainment and recreation,Percentage of industry (%),                 0 
2016,Proportion,Construction,Percentage of industry (%),                 2 
2016,Proportion,Education,Percentage of industry (%),                 0 
2016,Proportion,Electricity gas steam and air conditioning supply,Percentage of industry (%),                 1 
2016,Proportion,Financial and insurance activities,Percentage of industry (%),                 1 
2016,Proportion,Human health and social work activities,Percentage of industry (%),                 0 
2016,Proportion,Information and communication,Percentage of industry (%),                 2 
2016,Proportion,Manufacturing,Percentage of industry (%),                 2 
2016,Proportion,Mining and quarrying,Percentage of industry (%),                 0 
2016,Proportion,Other service activities,Percentage of industry (%),                 0 
2016,Proportion,Professional scientific and technical activities,Percentage of industry (%),                 0 
2016,Proportion,Public administration and defence; compulsory social security,Percentage of industry (%),                 6 
2016,Proportion,Real estate activities,Percentage of industry (%),                 0 
2016,Proportion,Transportation and storage,Percentage of industry (%),                 2 
2016,Proportion,Water supply; sewerage waste management and remediation activities,Percentage of industry (%),                 0 
2016,Proportion,Wholesale and retail trade; repair of motor vehicles and motorcycles,Percentage of industry (%),               16 
2016,Proportion,Not available,Percentage of industry (%),               63 
2017,Total value,,Vatu in millions (VUV),      320038 
