Year,Series,Major Industry,Value
2015,Total value in VT (millions),,"      273,742 "
2015,Total value in VT (millions),Accommodation and food service activities,"          6,530 "
2015,Total value in VT (millions),Administrative and support service activities,"          3,824 "
2015,Total value in VT (millions),"Agriculture, forestry and fishing","          1,438 "
2015,Total value in VT (millions),"Arts, entertainment and recreation",             418 
2015,Total value in VT (millions),Construction,"          4,035 "
2015,Total value in VT (millions),Education,               17 
2015,Total value in VT (millions),"Electricity, gas, steam and air conditioning supply","          3,247 "
2015,Total value in VT (millions),Financial and insurance activities,"          1,899 "
2015,Total value in VT (millions),Human health and social work activities,               95 
2015,Total value in VT (millions),Information and communication,"          5,153 "
2015,Total value in VT (millions),Manufacturing,"          4,842 "
2015,Total value in VT (millions),Mining and quarrying,             631 
2015,Total value in VT (millions),Other service activities,               41 
2015,Total value in VT (millions),"Professional, scientific and technical activities","          1,516 "
2015,Total value in VT (millions),Public administration and defence; compulsory social security,"        15,866 "
2015,Total value in VT (millions),Real estate activities,             883 
2015,Total value in VT (millions),Transportation and storage,"          5,699 "
2015,Total value in VT (millions),"Water supply; sewerage, waste management and remediation activities",             117 
2015,Total value in VT (millions),Wholesale and retail trade; repair of motor vehicles and motorcycles,"        49,418 "
2015,Total value in VT (millions),Not available,"      168,073 "
2015,Proportion of industry (percentage),Accommodation and food service activities,                 2 
2015,Proportion of industry (percentage),Administrative and support service activities,                 1 
2015,Proportion of industry (percentage),"Agriculture, forestry and fishing",                 1 
2015,Proportion of industry (percentage),"Arts, entertainment and recreation",                 0 
2015,Proportion of industry (percentage),Construction,                 1 
2015,Proportion of industry (percentage),Education,                 0 
2015,Proportion of industry (percentage),"Electricity, gas, steam and air conditioning supply",                 1 
2015,Proportion of industry (percentage),Financial and insurance activities,                 1 
2015,Proportion of industry (percentage),Human health and social work activities,                 0 
2015,Proportion of industry (percentage),Information and communication,                 2 
2015,Proportion of industry (percentage),Manufacturing,                 2 
2015,Proportion of industry (percentage),Mining and quarrying,                 0 
2015,Proportion of industry (percentage),Other service activities,                 0 
2015,Proportion of industry (percentage),"Professional, scientific and technical activities",                 1 
2015,Proportion of industry (percentage),Public administration and defence; compulsory social security,                 6 
2015,Proportion of industry (percentage),Real estate activities,                 0 
2015,Proportion of industry (percentage),Transportation and storage,                 2 
2015,Proportion of industry (percentage),"Water supply; sewerage, waste management and remediation activities",                 0 
2015,Proportion of industry (percentage),Wholesale and retail trade; repair of motor vehicles and motorcycles,               18 
2015,Proportion of industry (percentage),Not available,               61 
2016,Total value in VT (millions),,"      298,566 "
2016,Total value in VT (millions),Accommodation and food service activities,"          6,243 "
2016,Total value in VT (millions),Administrative and support service activities,"          5,590 "
2016,Total value in VT (millions),"Agriculture, forestry and fishing","          1,314 "
2016,Total value in VT (millions),"Arts, entertainment and recreation",             354 
2016,Total value in VT (millions),Construction,"          4,925 "
2016,Total value in VT (millions),Education,               14 
2016,Total value in VT (millions),"Electricity, gas, steam and air conditioning supply","          3,483 "
2016,Total value in VT (millions),Financial and insurance activities,"          1,915 "
2016,Total value in VT (millions),Human health and social work activities,             134 
2016,Total value in VT (millions),Information and communication,"          5,309 "
2016,Total value in VT (millions),Manufacturing,"          4,841 "
2016,Total value in VT (millions),Mining and quarrying,             642 
2016,Total value in VT (millions),Other service activities,               36 
