Year,Series,Series.1,Value
2010,Surplus,Net Operating Balance (millions of vatu),1598.7
2011,Surplus,Net Operating Balance (millions of vatu),299.1
2012,Surplus,Net Operating Balance (millions of vatu),33.2
2013,Surplus,Net Operating Balance (millions of vatu),563.4
2014,Surplus,Net Operating Balance (millions of vatu),1415.9
2015,Surplus,Net Operating Balance (millions of vatu),6768.1
2016,Surplus,Net Operating Balance (millions of vatu),2267.3
2017,Surplus,Net Operating Balance (millions of vatu),4067.4
2018,Surplus,Net Operating Balance (millions of vatu),12958.4
2019,Surplus,Net Operating Balance (millions of vatu),10991.8
2020,Surplus,Net Operating Balance (millions of vatu),9749.4
2021,Surplus,Net Operating Balance (millions of vatu),2837.3
2010,Deficit,Net Operating Balance Excluding Donors (millions of vatu),-2832.7
2011,Deficit,Net Operating Balance Excluding Donors (millions of vatu),-2654.699135
2012,Deficit,Net Operating Balance Excluding Donors (millions of vatu),-2143.0
2013,Deficit,Net Operating Balance Excluding Donors (millions of vatu),-1128.7
2014,Deficit,Net Operating Balance Excluding Donors (millions of vatu),-1656.6
2015,Deficit,Net Operating Balance Excluding Donors (millions of vatu),-2174.4
2016,Deficit,Net Operating Balance Excluding Donors (millions of vatu),-2283.7
2017,Deficit,Net Operating Balance Excluding Donors (millions of vatu),-3696.1
2018,Deficit,Net Operating Balance Excluding Donors (millions of vatu),4589.5
2019,Deficit,Net Operating Balance Excluding Donors (millions of vatu),4439.5
2020,Deficit,Net Operating Balance Excluding Donors (millions of vatu),-136.2
2021,Deficit,Net Operating Balance Excluding Donors (millions of vatu),-6305.4
