Year,Value,Series
2004,476,Original Budget
2005,454,Original Budget
2006,843,Original Budget
2007,605,Original Budget
2008,1215,Original Budget
2009,2529,Original Budget
2010,2791,Original Budget
2011,2724,Original Budget
2012,2005,Original Budget
2013,1785,Original Budget
2014,2800,Original Budget
2015,16372,Original Budget
2016,8320,Original Budget
2017,11239,Original Budget
2018,8500,Original Budget
2019,11377,Original Budget
2020,6796,Original Budget
2021,10474,Original Budget
2022,7677,Original Budget
2023,9534,Original Budget
2024,7442,Original Budget
2004,404,Actual Spent
2005,457,Actual Spent
2006,727,Actual Spent
2007,932,Actual Spent
2008,3382,Actual Spent
2009,3877,Actual Spent
2010,4394,Actual Spent
2011,2983,Actual Spent
2012,2738,Actual Spent
2013,2253,Actual Spent
2014,2387,Actual Spent
2015,12149,Actual Spent
2016,11558,Actual Spent
2017,12487,Actual Spent
2018,11276,Actual Spent
2019,13181,Actual Spent
2020,8193,Actual Spent
2021,10400,Actual Spent
2022,10250,Actual Spent
2023,8435,Actual Spent
2024,10592,Actual Spent
