Year,Major Industry,Unit,Value
2012,,Vatu in millions (VUV),105968
2012,Accommodation and food service activities,Vatu in millions (VUV),10701
2012,Administrative and support service activities,Vatu in millions (VUV),20398
2012,"Agriculture, forestry and fishing",Vatu in millions (VUV),1716
2012,Construction,Vatu in millions (VUV),3031
2012,Education,Vatu in millions (VUV),16
2012,Financial and insurance activities,Vatu in millions (VUV),1546
2012,Human health and social work activities,Vatu in millions (VUV),310
2012,Information and communication,Vatu in millions (VUV),2587
2012,Manufacturing,Vatu in millions (VUV),4588
2012,Mining and quarrying,Vatu in millions (VUV),30
2012,Other service activities,Vatu in millions (VUV),978
2012,"Professional, scientific and technical activities",Vatu in millions (VUV),5639
2012,Real estate activities,Vatu in millions (VUV),1763
2012,Transportation and storage,Vatu in millions (VUV),1672
2012,Wholesale and retail trade; repair of motor vehicles and motorcycles,Vatu in millions (VUV),50994
2013,,Vatu in millions (VUV),109781
2013,Accommodation and food service activities,Vatu in millions (VUV),12763
2013,Administrative and support service activities,Vatu in millions (VUV),20022
2013,"Agriculture, forestry and fishing",Vatu in millions (VUV),1855
2013,Construction,Vatu in millions (VUV),2935
2013,Education,Vatu in millions (VUV),72
2013,Financial and insurance activities,Vatu in millions (VUV),1727
2013,Human health and social work activities,Vatu in millions (VUV),855
2013,Information and communication,Vatu in millions (VUV),3050
2013,Manufacturing,Vatu in millions (VUV),4006
2013,Mining and quarrying,Vatu in millions (VUV),5
2013,,Vatu in millions (VUV),4
2013,Other service activities,Vatu in millions (VUV),1113
2013,"Professional, scientific and technical activities",Vatu in millions (VUV),5842
2013,Real estate activities,Vatu in millions (VUV),2478
2013,Transportation and storage,Vatu in millions (VUV),1509
2013,Wholesale and retail trade; repair of motor vehicles and motorcycles,Vatu in millions (VUV),51545
2014,,Vatu in millions (VUV),117084
2014,Accommodation and food service activities,Vatu in millions (VUV),13681
2014,Administrative and support service activities,Vatu in millions (VUV),21417
2014,"Agriculture, forestry and fishing",Vatu in millions (VUV),2691
2014,Construction,Vatu in millions (VUV),2465
2014,Education,Vatu in millions (VUV),45
2014,Financial and insurance activities,Vatu in millions (VUV),1659
2014,Human health and social work activities,Vatu in millions (VUV),313
2014,Information and communication,Vatu in millions (VUV),5054
2014,Manufacturing,Vatu in millions (VUV),4339
2014,Mining and quarrying,Vatu in millions (VUV),4
2014,Other service activities,Vatu in millions (VUV),988
2014,"Professional, scientific and technical activities",Vatu in millions (VUV),6320
2014,Real estate activities,Vatu in millions (VUV),2733
2014,Transportation and storage,Vatu in millions (VUV),1391
2014,Wholesale and retail trade; repair of motor vehicles and motorcycles,Vatu in millions (VUV),53985
2015,,Vatu in millions (VUV),116463
2015,Accommodation and food service activities,Vatu in millions (VUV),12085
2015,Administrative and support service activities,Vatu in millions (VUV),21748
2015,"Agriculture, forestry and fishing",Vatu in millions (VUV),2296
2015,Construction,Vatu in millions (VUV),3830
2015,Education,Vatu in millions (VUV),100
2015,Financial and insurance activities,Vatu in millions (VUV),1761
2015,Human health and social work activities,Vatu in millions (VUV),312
2015,Information and communication,Vatu in millions (VUV),3143
2015,Manufacturing,Vatu in millions (VUV),4232
2015,Mining and quarrying,Vatu in millions (VUV),4
2015,Other service activities,Vatu in millions (VUV),979
2015,"Professional, scientific and technical activities",Vatu in millions (VUV),5376
2015,Real estate activities,Vatu in millions (VUV),2750
2015,Transportation and storage,Vatu in millions (VUV),1471
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,Vatu in millions (VUV),56376
2016,,Vatu in millions (VUV),129951
2016,Accommodation and food service activities,Vatu in millions (VUV),13682
2016,Administrative and support service activities,Vatu in millions (VUV),25492
2016,"Agriculture, forestry and fishing",Vatu in millions (VUV),1814
2016,Construction,Vatu in millions (VUV),8847
2016,Education,Vatu in millions (VUV),68
2016,Financial and insurance activities,Vatu in millions (VUV),1894
2016,Human health and social work activities,Vatu in millions (VUV),364
2016,Information and communication,Vatu in millions (VUV),5545
2016,Manufacturing,Vatu in millions (VUV),4302
2016,Mining and quarrying,Vatu in millions (VUV),15
2016,Other service activities,Vatu in millions (VUV),944
2016,"Professional, scientific and technical activities",Vatu in millions (VUV),5695
2016,Real estate activities,Vatu in millions (VUV),2856
2016,Transportation and storage,Vatu in millions (VUV),1766
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles,Vatu in millions (VUV),56667
2017,,Vatu in millions (VUV),140461
2017,Accommodation and food service activities,Vatu in millions (VUV),14892
2017,Administrative and support service activities,Vatu in millions (VUV),26736
2017,"Agriculture, forestry and fishing",Vatu in millions (VUV),1870
