Year,Series,Units,My column,Value
2020,Series A,Total,,100.0
2021,Series A,Total,,120.0
2022,Series A,Total,,125.0
2020,Series B,Percent,,10.0
2021,Series B,Percent,,12.0
2022,Series B,Percent,,12.5
2020,Series A,Total,Group A,105.0
2021,Series A,Total,Group A,125.0
2022,Series A,Total,Group A,130.0
2020,Series B,Percent,Group A,10.5
2021,Series B,Percent,Group A,12.5
2022,Series B,Percent,Group A,13.0
2020,Series A,Total,Group B,145.0
2021,Series A,Total,Group B,165.0
2022,Series A,Total,Group B,170.0
2020,Series B,Percent,Group B,14.5
2021,Series B,Percent,Group B,16.5
2022,Series B,Percent,Group B,17.0
