Year,Series,Ministry,Department,Value
2004,Original Budget,,,8516
2005,Original Budget,,,8978
2006,Original Budget,,,9683
2007,Original Budget,,,11732
2008,Original Budget,,,13328
2009,Original Budget,,,14095
2010,Original Budget,,,15501
2011,Original Budget,,,15112
2012,Original Budget,,,16180
2013,Original Budget,,,16285
2014,Original Budget,,,16797
2015,Original Budget,,,17774
2016,Original Budget,,,19076
2017,Original Budget,,,20242
2018,Original Budget,,,24694
2019,Original Budget,,,27340
2020,Original Budget,,,36020
2021,Original Budget,,,38148
2022,Original Budget,,,39291
2023,Original Budget,,,41830
2024,Original Budget,,,57051
2004,Original Budget,Constitutional Agencies,,589
2004,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,281
2004,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,42
2004,Original Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,19
2004,Original Budget,Ministry of Education & Training,,1922
2004,Original Budget,Ministry of Finance and Economic Management,,2617
2004,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,158
2004,Original Budget,Ministry of Health,,942
2004,Original Budget,Ministry of Infrastructure and Public Utilities,,591
2004,Original Budget,Ministry of Internal Affairs,,928
2004,Original Budget,Ministry of Justice and Social Welfare,,33
2004,Original Budget,"Ministry of Lands, Mines & Water Resources",,206
2004,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,86
2004,Original Budget,Ministry of Youth Development and Sports,,19
2004,Original Budget,Prime Ministers Ministry,,81
2005,Original Budget,Constitutional Agencies,,729
2005,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,292
2005,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,65
2005,Original Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,24
2005,Original Budget,Ministry of Education & Training,,1993
2005,Original Budget,Ministry of Finance and Economic Management,,2641
2005,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,161
2005,Original Budget,Ministry of Health,,982
2005,Original Budget,Ministry of Infrastructure and Public Utilities,,607
2005,Original Budget,Ministry of Internal Affairs,,1023
2005,Original Budget,Ministry of Justice and Social Welfare,,43
2005,Original Budget,"Ministry of Lands, Mines & Water Resources",,197
2005,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,99
2005,Original Budget,Ministry of Youth Development and Sports,,24
2005,Original Budget,Prime Ministers Ministry,,96
2006,Original Budget,Constitutional Agencies,,797
2006,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,387
2006,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,78
2006,Original Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,27
2006,Original Budget,Ministry of Education & Training,,2039
2006,Original Budget,Ministry of Finance and Economic Management,,2994
2006,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,224
2006,Original Budget,Ministry of Health,,998
2006,Original Budget,Ministry of Infrastructure and Public Utilities,,608
2006,Original Budget,Ministry of Internal Affairs,,959
2006,Original Budget,Ministry of Justice and Social Welfare,,112
2006,Original Budget,"Ministry of Lands, Mines & Water Resources",,213
2006,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,103
2006,Original Budget,Ministry of Youth Development and Sports,,24
2006,Original Budget,Prime Ministers Ministry,,121
2007,Original Budget,Constitutional Agencies,,889
2007,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,407
2007,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,88
2007,Original Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,29
2007,Original Budget,Ministry of Education & Training,,3151
2007,Original Budget,Ministry of Finance and Economic Management,,2509
2007,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,238
2007,Original Budget,Ministry of Health,,1415
2007,Original Budget,Ministry of Infrastructure and Public Utilities,,1348
2007,Original Budget,Ministry of Internal Affairs,,1013
2007,Original Budget,Ministry of Justice and Social Welfare,,150
2007,Original Budget,"Ministry of Lands, Mines & Water Resources",,201
2007,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,117
2007,Original Budget,Ministry of Youth Development and Sports,,26
2007,Original Budget,Prime Ministers Ministry,,151
2008,Original Budget,Constitutional Agencies,,1062
2008,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,332
2008,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,124
2008,Original Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,26
2008,Original Budget,Ministry of Education & Training,,3185
2008,Original Budget,Ministry of Finance and Economic Management,,3577
2008,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,358
2008,Original Budget,Ministry of Health,,1472
2008,Original Budget,Ministry of Infrastructure and Public Utilities,,1265
2008,Original Budget,Ministry of Internal Affairs,,1232
2008,Original Budget,Ministry of Justice and Social Welfare,,151
2008,Original Budget,"Ministry of Lands, Mines & Water Resources",,215
2008,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,111
2008,Original Budget,Ministry of Youth Development and Sports,,75
2008,Original Budget,Prime Ministers Ministry,,142
2009,Original Budget,Constitutional Agencies,,1066
2009,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,381
2009,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,160
2009,Original Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,31
2009,Original Budget,Ministry of Education & Training,,3210
2009,Original Budget,Ministry of Finance and Economic Management,,3836
2009,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,296
2009,Original Budget,Ministry of Health,,1450
2009,Original Budget,Ministry of Infrastructure and Public Utilities,,1247
2009,Original Budget,Ministry of Internal Affairs,,1319
2009,Original Budget,Ministry of Justice and Social Welfare,,202
2009,Original Budget,"Ministry of Lands, Mines & Water Resources",,291
2009,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,324
2009,Original Budget,Ministry of Youth Development and Sports,,104
2009,Original Budget,Prime Ministers Ministry,,178
2010,Original Budget,Constitutional Agencies,,1096
2010,Original Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,452
2010,Original Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,208
2010,Original Budget,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,,41
2010,Original Budget,Ministry of Education & Training,,3624
2010,Original Budget,Ministry of Finance and Economic Management,,4142
2010,Original Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,361
2010,Original Budget,Ministry of Health,,1736
2010,Original Budget,Ministry of Infrastructure and Public Utilities,,1268
2010,Original Budget,Ministry of Internal Affairs,,1380
2010,Original Budget,Ministry of Justice and Social Welfare,,241
2010,Original Budget,"Ministry of Lands, Mines & Water Resources",,286
2010,Original Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,326
