Year,Series,Principal Import,Main Country of Origin,Value
2017,Value (in million vatu),,,11234
2017,Value (in million vatu),Alcoholic Drinks,,994
2017,Value (in million vatu),Cigarettes and Tobacco,,599
2017,Value (in million vatu),Medicaments,,694
2017,Value (in million vatu),Petroleum Oils and Gasesous,,6822
2017,Value (in million vatu),Fish,,613
2017,Value (in million vatu),Rice,,1512
2017,Value (in million vatu),Alcoholic Drinks,AUSTRALIA,561
2017,Value (in million vatu),Alcoholic Drinks,FRANCE,218
2017,Value (in million vatu),Alcoholic Drinks,NEW ZEALAND,52
2017,Value (in million vatu),Alcoholic Drinks,NEW CALEDONIA,28
2017,Value (in million vatu),Alcoholic Drinks,UNITED KINGDOM,23
2017,Value (in million vatu),Cigarettes and Tobacco,AUSTRALIA,534
2017,Value (in million vatu),Cigarettes and Tobacco,INDONESIA,42
2017,Value (in million vatu),Cigarettes and Tobacco,SINGAPORE,9
2017,Value (in million vatu),Cigarettes and Tobacco,HONG KONG,6
2017,Value (in million vatu),Cigarettes and Tobacco,FIJI,6
2017,Value (in million vatu),Medicaments,NEW ZEALAND,204
2017,Value (in million vatu),Medicaments,AUSTRALIA,155
2017,Value (in million vatu),Medicaments,INDIA,147
2017,Value (in million vatu),Medicaments,UNITED STATES OF AMERICA,60
2017,Value (in million vatu),Medicaments,NETHERLANDS,29
2017,Value (in million vatu),Petroleum Oils and Gasesous,SINGAPORE,6214
2017,Value (in million vatu),Petroleum Oils and Gasesous,AUSTRALIA,371
2017,Value (in million vatu),Petroleum Oils and Gasesous,NEW ZEALAND,91
2017,Value (in million vatu),Petroleum Oils and Gasesous,UNITED ARAB EMIRATES,90
2017,Value (in million vatu),Petroleum Oils and Gasesous,MALAYSIA,44
2017,Value (in million vatu),Fish,SOLOMON ISLANDS,186
2017,Value (in million vatu),Fish,THAILAND,176
2017,Value (in million vatu),Fish,FIJI,166
2017,Value (in million vatu),Fish,"CHINA, PEOPLES REPUBLIC OF",38
2017,Value (in million vatu),Fish,PAPUA NEW GUINEA,37
2017,Value (in million vatu),Rice,VIET NAM,981
2017,Value (in million vatu),Rice,SINGAPORE,414
2017,Value (in million vatu),Rice,"CHINA, PEOPLES REPUBLIC OF",68
2017,Value (in million vatu),Rice,UNITED STATES OF AMERICA,11
2017,Value (in million vatu),Rice,AUSTRALIA,11
2018,Value (in million vatu),,,12634
2018,Value (in million vatu),Alcholic drinks,,921
2018,Value (in million vatu),Cigarettes and Tobacco,,661
2018,Value (in million vatu),Medicaments,,613
2018,Value (in million vatu),Petroleum Oils and Gasesous,,8416
2018,Value (in million vatu),Fish,,714
2018,Value (in million vatu),Rice,,1308
2018,Value (in million vatu),Alcoholic drinks,AUSTRALIA,515
2018,Value (in million vatu),Alcoholic drinks,FRANCE,214
2018,Value (in million vatu),Alcoholic drinks,NEW ZEALAND,57
2018,Value (in million vatu),Alcoholic drinks,NEW CALEDONIA,24
2018,Value (in million vatu),Alcoholic drinks,NETHERLANDS,24
2018,Value (in million vatu),Cigarettes and Tobacco,AUSTRALIA,542
2018,Value (in million vatu),Cigarettes and Tobacco,"CHINA, PEOPLES REPUBLIC OF",0
2018,Value (in million vatu),Cigarettes and Tobacco,FIJI,17
2018,Value (in million vatu),Cigarettes and Tobacco,FINLAND,0
2018,Value (in million vatu),Cigarettes and Tobacco,HONG KONG,1
2018,Value (in million vatu),Medicaments,NEW ZEALAND,188
2018,Value (in million vatu),Medicaments,INDIA,119
2018,Value (in million vatu),Medicaments,AUSTRALIA,108
2018,Value (in million vatu),Medicaments,UNITED STATES OF AMERICA,53
2018,Value (in million vatu),Medicaments,FRENCH POLYNESIA,32
2018,Value (in million vatu),Petroleum Oils and Gasesous,SINGAPORE,7881
2018,Value (in million vatu),Petroleum Oils and Gasesous,AUSTRALIA,311
2018,Value (in million vatu),Petroleum Oils and Gasesous,UNITED ARAB EMIRATES,98
2018,Value (in million vatu),Petroleum Oils and Gasesous,NEW ZEALAND,69
2018,Value (in million vatu),Petroleum Oils and Gasesous,MALAYSIA,45
2018,Value (in million vatu),Fish,THAILAND,212
2018,Value (in million vatu),Fish,SOLOMON ISLANDS,203
2018,Value (in million vatu),Fish,FIJI,171
2018,Value (in million vatu),Fish,PAPUA NEW GUINEA,67
