Year,Value,Series
2016,51,Debt Ratio to GDP (%)
2017,59,Debt Ratio to GDP (%)
2018,63,Debt Ratio to GDP (%)
2019,66,Debt Ratio to GDP (%)
2020,72,Debt Ratio to GDP (%)
2021,73,Debt Ratio to GDP (%)
2022,40,Debt Ratio to GDP (%)
2023,39,Debt Ratio to GDP (%)
2024,38,Debt Ratio to GDP (%)
2016,32288,Debt (million vatu)
2017,39486,Debt (million vatu)
2018,42762,Debt (million vatu)
2019,46458,Debt (million vatu)
2020,48274,Debt (million vatu)
2021,47968,Debt (million vatu)
2022,53046,Debt (million vatu)
2023,55447,Debt (million vatu)
2024,59063,Debt (million vatu)
2022,132872,GDP Current (million vatu)
2023,141522,GDP Current (million vatu)
2024,154671,GDP Current (million vatu)
