Year,Value,Units,Series
2017,4645,VUV,Value(inmillionvatu)
2018,3774,VUV,Value(inmillionvatu)
2019,3986,VUV,Value(inmillionvatu)
2020,4653,VUV,Value(inmillionvatu)
2021,4653,VUV,Value(inmillionvatu)
2017,31821,kilogram,Quantity(intonneskilogram)
2018,12742,kilogram,Quantity(intonneskilogram)
2019,14242,kilogram,Quantity(intonneskilogram)
2020,55623,kilogram,Quantity(intonneskilogram)
2021,55623,kilogram,Quantity(intonneskilogram)
2017,146,vatuperkilogram/litre,Priceperunit(vatuperkilogram/litre)
2018,296,vatuperkilogram/litre,Priceperunit(vatuperkilogram/litre)
2019,280,vatuperkilogram/litre,Priceperunit(vatuperkilogram/litre)
2020,84,vatuperkilogram/litre,Priceperunit(vatuperkilogram/litre)
2021,84,vatuperkilogram/litre,Priceperunit(vatuperkilogram/litre)
