Year,Value,Series
2017,4645.0,Value (in million vatu)
2018,3774.0,Value (in million vatu)
2019,3986.0,Value (in million vatu)
2020,3372.0,Value (in million vatu)
2021,4652.0,Value (in million vatu)
2022,3837.0,Value (in million vatu)
2023,5377.0,Value (in million vatu)
2024,6034.0,Value (in million vatu)
2017,31821.0,Quantity (in tonnes kilogram)
2018,12742.0,Quantity (in tonnes kilogram)
2019,14242.0,Quantity (in tonnes kilogram)
2020,11464.0,Quantity (in tonnes kilogram)
2021,55623.0,Quantity (in tonnes kilogram)
2022,7749.0,Quantity (in tonnes kilogram)
2023,,Quantity (in tonnes kilogram)
2024,81450.0,Quantity (in tonnes kilogram)
