Year,Value,Series
2004,8516,Original Budget
2005,8978,Original Budget
2006,9683,Original Budget
2007,11732,Original Budget
2008,13328,Original Budget
2009,14095,Original Budget
2010,15501,Original Budget
2011,15112,Original Budget
2012,16180,Original Budget
2013,16285,Original Budget
2014,16797,Original Budget
2015,17774,Original Budget
2016,19076,Original Budget
2017,20242,Original Budget
2018,24694,Original Budget
2019,27340,Original Budget
2020,36020,Original Budget
2021,38148,Original Budget
2022,39291,Original Budget
2023,41830,Original Budget
2024,57051,Original Budget
2004,7811,Actual Spent
2005,8391,Actual Spent
2006,9828,Actual Spent
2007,11819,Actual Spent
2008,13641,Actual Spent
2009,13880,Actual Spent
2010,14972,Actual Spent
2011,14819,Actual Spent
2012,15414,Actual Spent
2013,16013,Actual Spent
2014,16765,Actual Spent
2015,18063,Actual Spent
2016,20970,Actual Spent
2017,22642,Actual Spent
2018,29462,Actual Spent
2019,32230,Actual Spent
2020,39460,Actual Spent
2021,41068,Actual Spent
2022,39437,Actual Spent
2023,43441,Actual Spent
2024,47649,Actual Spent
