Year,Value,Series
1967,77710,Totalpopulation
1979,111251,Totalpopulation
1989,142419,Totalpopulation
1999,186678,Totalpopulation
2009,234023,Totalpopulation
2016,272459,Totalpopulation
2020,300019,Totalpopulation
2021,307000,Populationestimates
2022,314142,Populationestimates
2023,321451,Populationestimates
2024,328931,Populationestimates
2025,336584,Populationestimates
2026,344415,Populationestimates
2027,352428,Populationestimates
2028,360628,Populationestimates
2029,369018,Populationestimates
